model,size,divisions
#16816,121.00,120.00
#16816,105.00,104.00
#16816,67.00,66.00
#16816,67.00,66.00
#16816,56.00,55.00
#16816,45.00,44.00
#16816,35.00,34.00
#16816,25.00,24.00
#16816,20.00,19.00
#16816,15.00,14.00
#16816,11.00,10.00
#16816,8.00,7.00
#16816,8.00,7.00
#16816,7.00,6.00
#16816,7.00,6.00
#16816,7.00,6.00
#16816,5.00,4.00
#16816,5.00,4.00
#16816,5.00,4.00
#16816,5.00,4.00
#16816,5.00,4.00
#16816,5.00,4.00
#16816,4.00,3.00
#16816,4.00,3.00
#16816,4.00,3.00
#16816,3.00,2.00
#16816,3.00,2.00
#16816,3.00,2.00
#16816,3.00,2.00
#16816,2.00,1.00
#16816,2.00,1.00
#16816,2.00,1.00
#16816,2.00,1.00
#16816,2.00,1.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16816,1.00,0.00
#16836,98.00,97.00
#16836,78.00,77.00
#16836,26.00,25.00
#16836,23.00,22.00
#16836,15.00,14.00
#16836,14.00,13.00
#16836,13.00,12.00
#16836,10.00,9.00
#16836,10.00,9.00
#16836,10.00,9.00
#16836,10.00,9.00
#16836,8.00,7.00
#16836,8.00,7.00
#16836,8.00,7.00
#16836,8.00,7.00
#16836,8.00,7.00
#16836,8.00,7.00
#16836,6.00,5.00
#16836,6.00,5.00
#16836,6.00,5.00
#16836,6.00,5.00
#16836,4.00,3.00
#16836,4.00,3.00
#16836,4.00,3.00
#16836,4.00,3.00
#16836,3.00,2.00
#16836,3.00,2.00
#16836,3.00,2.00
#16836,3.00,2.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,2.00,1.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16836,1.00,0.00
#16935,65.00,64.00
#16935,58.00,57.00
#16935,55.00,54.00
#16935,50.00,49.00
#16935,45.00,44.00
#16935,43.00,42.00
#16935,20.00,19.00
#16935,19.00,18.00
#16935,15.00,14.00
#16935,5.00,4.00
#16935,4.00,3.00
#16935,4.00,3.00
#16935,4.00,3.00
#16935,4.00,3.00
#16935,3.00,2.00
#16935,3.00,2.00
#16935,3.00,2.00
#16935,3.00,2.00
#16935,3.00,2.00
#16935,3.00,2.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,2.00,1.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
#16935,1.00,0.00
