model,size,divisions
#15126-L,35.00,34.00
#15126-L,37.00,36.00
#15126-L,19.00,18.00
#15126-L,25.00,24.00
#15126-L,58.00,57.00
#15126-L,36.00,35.00
#15126-L,5.00,4.00
#15126-L,1.00,0.00
#15126-L,2.00,1.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,4.00,3.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,2.00,1.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15126-L,3.00,2.00
#15126-L,6.00,5.00
#15126-L,4.00,3.00
#15126-L,8.00,7.00
#15126-L,1.00,0.00
#15126-L,1.00,0.00
#15131-L,5.00,4.00
#15131-L,3.00,2.00
#15131-L,2.00,1.00
#15131-L,6.00,5.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,11.00,10.00
#15131-L,2.00,1.00
#15131-L,2.00,1.00
#15131-L,4.00,3.00
#15131-L,6.00,5.00
#15131-L,1.00,0.00
#15131-L,7.00,6.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,3.00,2.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15131-L,2.00,1.00
#15131-L,10.00,9.00
#15131-L,1.00,0.00
#15131-L,2.00,1.00
#15131-L,220.00,219.00
#15131-L,1.00,0.00
#15131-L,40.00,39.00
#15131-L,1.00,0.00
#15131-L,1.00,0.00
#15132-L ,12.00,11.00
#15132-L ,10.00,9.00
#15132-L ,25.00,24.00
#15132-L ,20.00,19.00
#15132-L ,18.00,17.00
#15132-L ,75.00,74.00
#15132-L ,1.00,0.00
#15132-L ,2.00,1.00
#15132-L ,4.00,3.00
#15132-L ,6.00,5.00
#15132-L ,3.00,2.00
#15132-L ,2.00,1.00
#15132-L ,4.00,3.00
#15132-L ,1.00,0.00
#15132-L ,3.00,2.00
#15132-L ,2.00,1.00
#15132-L ,1.00,0.00
#15132-L ,1.00,0.00
#15132-L ,1.00,0.00
#15132-L ,1.00,0.00
#15132-L ,1.00,0.00
#15132-L ,1.00,0.00
#15132-L ,2.00,1.00
#15132-L ,3.00,2.00
#15132-L ,4.00,3.00
#15132-L ,3.00,2.00
#15132-L ,2.00,1.00
#15132-L ,1.00,0.00
#15132-L ,5.00,4.00
#15152-R,35.00,34.00
#15152-R,40.00,39.00
#15152-R,29.00,28.00
#15152-R,78.00,77.00
#15152-R,38.00,37.00
#15152-R,2.00,1.00
#15152-R,3.00,2.00
#15152-R,1.00,0.00
#15152-R,4.00,3.00
#15152-R,5.00,4.00
#15152-R,2.00,1.00
#15152-R,6.00,5.00
#15152-R,2.00,1.00
#15152-R,1.00,0.00
#15152-R,5.00,4.00
#15152-R,6.00,5.00
#15152-R,2.00,1.00
#15152-R,3.00,2.00
#15152-R,1.00,0.00
#15152-R,4.00,3.00
#15152-R,5.00,4.00
#15152-R,3.00,2.00
#15152-R,2.00,1.00
#15152-R,1.00,0.00
#15152-R,6.00,5.00
#15152-R,7.00,6.00
#15152-R,1.00,0.00
#15152-R,1.00,0.00
#15152-R,1.00,0.00
#15152-R,1.00,0.00
