model,size,divisions
#14548,76.00,75.00
#14548,69.00,68.00
#14548,63.00,62.00
#14548,55.00,54.00
#14548,45.00,44.00
#14548,45.00,44.00
#14548,38.00,37.00
#14548,35.00,34.00
#14548,30.00,29.00
#14548,20.00,19.00
#14548,15.00,14.00
#14548,13.00,12.00
#14548,10.00,9.00
#14548,8.00,7.00
#14548,6.00,5.00
#14548,5.00,4.00
#14548,5.00,4.00
#14548,4.00,3.00
#14548,4.00,3.00
#14548,4.00,3.00
#14548,4.00,3.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,3.00,2.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,2.00,1.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#17088,117.00,116.00
#17088,104.00,103.00
#17088,48.00,47.00
#17088,45.00,44.00
#17088,36.00,35.00
#17088,28.00,27.00
#17088,25.00,24.00
#17088,25.00,24.00
#17088,18.00,17.00
#17088,18.00,17.00
#17088,15.00,14.00
#17088,15.00,14.00
#17088,12.00,11.00
#17088,12.00,11.00
#17088,12.00,11.00
#17088,10.00,9.00
#17088,8.00,7.00
#17088,6.00,5.00
#17088,6.00,5.00
#17088,5.00,4.00
#17088,5.00,4.00
#17088,5.00,4.00
#17088,4.00,3.00
#17088,4.00,3.00
#17088,4.00,3.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,3.00,2.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,2.00,1.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17088,1.00,0.00
#17089,110.00,109.00
#17089,132.00,131.00
#17089,63.00,62.00
#17089,57.00,56.00
#17089,56.00,55.00
#17089,42.00,41.00
#17089,41.00,40.00
#17089,30.00,29.00
#17089,21.00,20.00
#17089,21.00,20.00
#17089,20.00,19.00
#17089,20.00,19.00
#17089,18.00,17.00
#17089,17.00,16.00
#17089,15.00,14.00
#17089,15.00,14.00
#17089,15.00,14.00
#17089,12.00,11.00
#17089,11.00,10.00
#17089,7.00,6.00
#17089,7.00,6.00
#17089,6.00,5.00
#17089,6.00,5.00
