model,size,divisions
#10191,275,274
#10191,85,84
#10191,70,69
#10191,89,88
#10191,62,61
#10191,5,4
#10191,10,9
#10191,6,5
#10191,1,0
#10191,2,1
#10191,2,1
#10191,6,5
#10191,4,3
#10191,3,2
#10191,1,0
#10191,1,0
#10191,1,0
#10191,1,0
#10191,3,2
#10191,2,1
#10191,2,1
#10191,1,0
#10191,9,8
#10191,5,4
#10191,1,0
#10191,2,1
#10191,10,9
#10191,2,1
#10191,1,0
#10191,2,1
#10191,3,2
#10191,5,4
#14530-R,1,0
#14530-R,2,1
#14530-R,81,80
#14530-R,3,2
#14530-R,2,1
#14530-R,1,0
#14530-R,3,2
#14530-R,1,0
#14530-R,1763,1762
#14530-R,2,1
#14530-R,1,0
#14530-R,3,2
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,5,4
#14530-R,3,2
#14530-R,1,0
#14530-R,1,0
#14530-R,5,4
#14530-R,1,0
#14530-R,1,0
#14530-R,17,16
#14530-R,20,19
#14530-R,6,5
#14530-R,16,15
#14530-R,8,7
#14530-R,7,6
#14530-R,27,26
#14530-R,280,279
#14530-R,180,179
#14530-R,1,0
#14530-R,3,2
#14530-R,6,5
#14530-R,1,0
#14530-R,1,0
#14530-R,31,30
#14530-R,19,18
#14530-R,6,5
#14530-R,1,0
#14530-R,2,1
#14530-R,9,8
#14530-R,3,2
#14530-R,2,1
#14530-R,2,1
#14530-R,20,19
#14530-R,2,1
#14530-R,2,1
#14530-R,2,1
#14530-R,765,764
#14530-R,10,9
#14530-R,486,485
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,2,1
#14530-R,4,3
#14530-R,28,27
#14530-R,48,47
#14530-R,36,35
#14530-R,63,62
#14530-R,98,97
#14530-R,89,88
#14530-R,26,25
#14530-R,3,2
#14530-R,2,1
#14530-R,1,0
#14530-R,1,0
#14530-R,1,0
#14530-R,2,1
#14530-R,480,479
#14530-R,5,4
#14530-R,3,2
#14530-R,1,0
#14530-R,1,0
#14530-R,2,1
#14530-R,4,3
#14530-R,2,1
#14530-R,1,0
#14529,125,124
#14529,47,46
#14529,85,84
#14529,92,91
#14529,117,116
#14529,252,251
#14529,55,54
#14529,46,45
#14529,167,166
#14529,788,787
#14529,3,2
#14529,4,3
#14529,2,1
#14529,3,2
#14529,1,0
#14529,1,0
#14529,2,1
#14529,1,0
#14529,2,1
#14529,3,2
#14529,3,2
#14529,1,0
#14529,2,1
#14529,5,4
#14529,1,0
#14529,3,2
#14529,3,2
#14529,1,0
#14529,1,0
#14529,1,0
#14529,2,1
#14529,7,6
#14529,2,1
#14529,1,0
#14529,5,4
#14529,4,3
#14529,9,8
#14529,2,1
#14530-L,42,41
#14530-L,28,27
#14530-L,31,30
#14530-L,107,106
#14530-L,450,449
#14530-L,102,101
#14530-L,134,133
#14530-L,21,20
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,2,1
#14530-L,3,2
#14530-L,2,1
#14530-L,5,4
#14530-L,6,5
#14530-L,7,6
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,1,0
#14530-L,2,1
#14530-L,1,0
