"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sptlc2",100.777994769672,-1.77398607578046,0.212896560850536,-8.33261969424621,7.90728489703497e-17,1.13540703836525e-12
"Ltf",574.205153127733,-5.38148416932478,0.680082830693808,-7.91298342855485,2.5129281821006e-15,1.80415678833913e-11
"Ltbp2",21.2297433935883,-4.89578773019943,0.634144827986219,-7.72029907702066,1.16057063046519e-14,5.55487789428322e-11
"Slc39a4",47.9411875226726,-4.7438792963506,0.631580947248764,-7.51111843543643,5.8624323542194e-14,2.10446665435591e-10
"S100a14",154.777975516082,-6.83015663344631,1.00710522660208,-6.78196920543338,1.18548747541466e-11,3.40448293189583e-08
"Crabp2",47.9899394705494,-4.60827717615363,0.687995764293041,-6.69811852822804,2.11120001747259e-11,5.0524535084815e-08
"Ifitm1",160.27498927739,-4.51535772805552,0.687100703361931,-6.57160981783633,4.97741551253493e-11,1.0210101334927e-07
"Fcgbp",76.1299169447732,-7.11425287885352,1.09026389193886,-6.52525772104763,6.78847065945323e-11,1.03656659807864e-07
"Hnrnpab",343.911407619203,-0.882439894424851,0.135308237402456,-6.52170120138477,6.95143915038457e-11,1.03656659807864e-07
"Gabrp",150.169881023889,-5.93204037471204,0.910375534692731,-6.51603667789053,7.21893305995295e-11,1.03656659807864e-07
"Col15a1",39.2374079288229,-2.60295655185812,0.410051720173302,-6.34787375299394,2.18311115105443e-10,2.84975391072641e-07
"Krt15",195.925202699804,-7.33189207550741,1.16847450448619,-6.27475571555707,3.50183657632594e-10,4.19023928328868e-07
"Pigr",43.5030909088797,-6.79051461464017,1.08794173961573,-6.2416160419019,4.33072968847446e-10,4.78345750744652e-07
"Krt17",89.1999608095136,-8.58367865888624,1.413773101802,-6.07146836217597,1.26745934386245e-09,1.2999606227515e-06
"Kng2",10.4559286943485,-6.46043833618404,1.07007970957765,-6.0373430860902,1.56672387249737e-09,1.49977253901265e-06
"Krt6a",95.3206916765444,-8.66883166215153,1.45207982337337,-5.96994154358039,2.37338607999961e-09,2.12996567016965e-06
"Il1rn",170.614222336661,-4.42737993736783,0.745846895475069,-5.93604393103735,2.91981594216719e-09,2.46621394785757e-06
"Ahr",15.0091701723938,-3.60496937739146,0.609193148091688,-5.9176131390908,3.26647160585823e-09,2.60573698825102e-06
"Cped1",14.4707448585317,3.18622979704544,0.543403031423154,5.86347446148914,4.53280592566911e-09,3.40226011642118e-06
"Sfn",133.969794751406,-5.73835449549234,0.979894844956463,-5.85609213583249,4.73885384277621e-09,3.40226011642118e-06
"Fxyd3",242.426857451078,-5.56733798501245,0.958987787466267,-5.80543157877106,6.42004181778281e-09,4.38978002197826e-06
"Mmp7",151.596282548165,-5.62051266753526,0.983886747245865,-5.71256060036221,1.11288765972971e-08,7.26361541184493e-06
"Syt8",57.607036710431,-5.79601413135122,1.01753407654771,-5.6961376183252,1.22551968858645e-08,7.65097269930993e-06
"Pmepa1",70.8411936614517,-2.79889265115168,0.493944155185925,-5.66641516407488,1.45815974477848e-08,8.72404823969757e-06
"Anxa8",154.270228097828,-5.60862603184654,1.01170027254764,-5.54376249966109,2.96040316003041e-08,1.70033715899507e-05
"Cblc",26.7319646891235,-5.57836736486334,1.01043510430502,-5.52075768260266,3.37540995714086e-08,1.86413506056098e-05
"Tmprss2",32.7879183710923,-5.37585068613757,0.985372560803219,-5.45565291746655,4.87932194527054e-08,2.59489569674591e-05
"Tnc",58.0997358627368,-3.73495978364177,0.688049329969938,-5.42833140147808,5.68833447385739e-08,2.91709981107565e-05
"Col5a2",55.9473504028047,-4.16822719829578,0.774333345080086,-5.38298812104582,7.32593747293843e-08,3.62734952323872e-05
"Lcn2",1462.53300655999,-4.80314563879664,0.902369806376564,-5.32281289207083,1.02174826911735e-07,4.89042779875203e-05
"Col12a1",32.8800521506618,-4.24621324917725,0.800217346025091,-5.30632492568351,1.11857492646088e-07,5.18116689324251e-05
"Ttc9",35.5442128224066,-3.3990321237901,0.643270691210563,-5.28398413021663,1.26404206188381e-07,5.37905291919083e-05
"Muc20",12.741813012718,-4.48781202793154,0.849356841935091,-5.28377686074436,1.26547377579701e-07,5.37905291919083e-05
"Sprr2f",53.5695992963938,-6.819611630896,1.29136655445166,-5.28092632365855,1.28532372925933e-07,5.37905291919083e-05
"Eya2",39.0292438846292,-3.91062278561442,0.741029744807141,-5.27728180011477,1.31114180772811e-07,5.37905291919083e-05
"Mgst2",23.7603244683998,-4.20862831262412,0.798282599616688,-5.27210328102477,1.34869140659387e-07,5.37940552980037e-05
"Canx",222.959309346796,-0.973055528163607,0.186946641258616,-5.20499069473794,1.94006327474229e-07,7.52901853027689e-05
"Cldn15",33.358620723838,4.5566602169844,0.878320006775108,5.18792715847941,2.12647743316529e-07,7.90146581159907e-05
"Anxa1",785.978029694992,-3.29590010707501,0.635511451485059,-5.18621670683222,2.14609072116696e-07,7.90146581159907e-05
"Mall",18.8809574230785,-5.07395589330589,0.981859698072526,-5.16769952292217,2.36992912485779e-07,8.50745307595826e-05
"Rev3l",56.5249056614539,1.93198066838507,0.375148261875909,5.14991235391656,2.60608212970435e-07,9.12700812205483e-05
"AA467197",97.163840940292,-4.89484131427807,0.95528098377605,-5.12398068988003,2.99151633604185e-07,0.000102274245402917
"Lrg1",9.60583108709208,-3.67922258702662,0.720906421817207,-5.10360634290414,3.33241109866885e-07,0.000111279281315781
"Slc44a4",17.8859669935707,-4.16955152021537,0.823565841420402,-5.06280288777416,4.13136948568831e-07,0.000134823487374996
"Fxyd5",291.097394102559,-2.49088235595742,0.492454768806767,-5.05809368440659,4.23468394764868e-07,0.000135124059565083
"BC017643",41.2915427338327,-1.13748441212858,0.225697348683227,-5.03986608068253,4.65857714689223e-07,0.000145418498374403
"Cxcl5",26.1524407254651,-4.61705001538693,0.917788462699615,-5.03062546875581,4.88882331832924e-07,0.000149358753250829
"Ppbp",32.9815509773386,-6.39843817818633,1.27625744408383,-5.01343847814302,5.34658676244077e-07,0.000159940915253931
"Ass1",46.7692440725244,-2.60060055601649,0.519706685860794,-5.00397748724185,5.61593185455837e-07,0.000161445275205901
"Plau",42.3421146832456,-3.18158771090644,0.63583708422632,-5.00377815298042,5.62174507994642e-07,0.000161445275205901
"Clint1",70.1626932558079,-1.46821646064375,0.294972804805075,-4.97746380929586,6.4422822482584e-07,0.000179695563469622
"Basp1",60.7811663450598,-2.97104242787484,0.597132984850608,-4.97551216102749,6.50753485648049e-07,0.000179695563469622
"Emsy",37.6762197629435,1.09581290575447,0.220987304294722,4.95871429922972,7.09612334434218e-07,0.000192251386983791
"Arpc3",355.826451382607,-0.814095791005695,0.164303241549376,-4.95483706425258,7.23909247635594e-07,0.000192492831237028
"Slpi",112.617073443513,-3.56620524031949,0.722606931646421,-4.93519378812778,8.00712159277749e-07,0.000209044107183076
"Macc1",8.04219714763066,-4.02183154363107,0.820676776154023,-4.90062794572886,9.55308191017596e-07,0.000244951255621815
"Ap1m1",49.5205314328034,1.07951812204688,0.220611472347194,4.8933000199915,9.91590671377218e-07,0.000248383799081864
"C2",11.193259903476,-3.0462362249529,0.622825867712729,-4.8909918211007,1.00329133969971e-06,0.000248383799081864
"Rack1",1209.29612173587,-1.13598179133579,0.233129148971068,-4.87275742372641,1.10051317828408e-06,0.00026783506316917
"Plekhs1",34.5762371722298,-3.70652624969432,0.763875596846811,-4.85226424956422,1.22059837364858e-06,0.000290659547916959
"Nectin4",18.3948343083917,-4.55411234351057,0.938997432899924,-4.84997315641856,1.23478183877251e-06,0.000290659547916959
"Col3a1",304.966402636341,-3.14077160848142,0.648613739431662,-4.84228350024388,1.28355454155315e-06,0.000297267091325189
"Lamc2",76.1033310906664,-3.93279912526169,0.812884012305497,-4.8380815291317,1.31098368409837e-06,0.000298800233650293
"Myo1d",20.2849719182412,-2.38106778397128,0.493139051551631,-4.82839024100687,1.37641163148682e-06,0.000308810853383113
"Ostf1",36.96554420641,-1.62663949739996,0.338596737084726,-4.80406134862704,1.55479156105374e-06,0.000343465415771857
"Syngr2",103.780989923798,-1.22105644963191,0.25527360849033,-4.78332428037958,1.72419624366408e-06,0.000375117179738978
"St6galnac2",20.7640176651309,-3.53019881457468,0.739453899496423,-4.77406207064266,1.80546695329883e-06,0.000386935820633102
"Txnip",248.712766059407,1.49215435151878,0.313151125401276,4.7649656363416,1.88885837843858e-06,0.000398854668470582
"Klk1",74.6311815795506,5.52070135283591,1.16317628233457,4.7462293004767,2.07243762704186e-06,0.000431277273720204
"Xdh",28.1524136292209,-3.03323364766246,0.639537867792409,-4.74285230072886,2.10729913821755e-06,0.000432267261795227
"Postn",87.8910231793346,-3.0979067595529,0.655230586710861,-4.72796420433276,2.2678215219721e-06,0.00045864294695771
"Tmem40",14.0859249682203,-3.93290764758423,0.833236523327553,-4.72003751333181,2.35801152827492e-06,0.000470259549090272
"Pgs1",45.3150427574785,-1.24596847350269,0.26579869825869,-4.68763948681962,2.76374323543691e-06,0.000543624508460802
"Ly6a",559.556928507538,-4.39245966536497,0.938020543844068,-4.68269026109427,2.83134180246949e-06,0.000549395093806208
"Gsta3",35.567809171108,-3.24866671333091,0.694192407690163,-4.67977851290601,2.87184992673604e-06,0.000549825241306704
"Gpa33",13.2349375350368,-6.30437415231667,1.35231253054227,-4.66192097605474,3.13271485728194e-06,0.000591877008364624
"Col7a1",21.5506465461873,-3.79193741764499,0.825262730956724,-4.59482450303918,4.33113630146545e-06,0.000807672547438213
"Muc4",21.4753125708729,-6.03271136170085,1.32049171232986,-4.56853405846583,4.91147268367154e-06,0.000898550921768677
"Plac8",165.164271807578,-3.67863405931685,0.805452239855676,-4.56716596874323,4.94362579704196e-06,0.000898550921768677
"Serinc1",104.460567534426,1.00984707154072,0.221528171075963,4.55854922033569,5.15081939347526e-06,0.000924507695886391
"Pcm1",38.9893839381077,1.15511188739933,0.253805687680953,4.55116627981703,5.33493640626329e-06,0.000945732738981908
"Ptges",33.6097773616543,-4.43016609483041,0.975188913233979,-4.54287988174397,5.549087418701e-06,0.000971699344452776
"Sdc1",227.342398769257,-2.7933092008529,0.615452678420431,-4.53862546836578,5.66221016265864e-06,0.000976097388955231
"Gm4204",47.2112035201498,0.950803341244129,0.209649423441349,4.53520608660354,5.75472658091017e-06,0.000976097388955231
"Fst",11.4679495925125,-4.08791797509731,0.901918844073984,-4.53246764047208,5.82986091385546e-06,0.000976097388955231
"Pdlim2",18.8137749518108,-2.80689298896507,0.619497980413644,-4.5309154794837,5.87286327889294e-06,0.000976097388955231
"Gprasp2",15.3309149562753,3.55731764580413,0.785377363532477,4.52943745386803,5.9140937975559e-06,0.000976097388955231
"Gpx2",77.9023396871956,-4.3129974687235,0.95458910680798,-4.5181716803218,6.23759003918002e-06,0.0010177904019612
"Pde7a",51.5422951242923,-1.2977127179992,0.287783265063444,-4.509340450054,6.50294796742396e-06,0.0010491666276881
"Timp2",252.026502903058,-1.94123303691148,0.430718881690239,-4.5069606173141,6.5762833613297e-06,0.00104920947539259
"Ivd",42.5807830796796,1.40252192509622,0.311490369559653,4.50261729465002,6.712168810737e-06,0.00105912123025684
"Mal2",53.5365054383596,-4.32595260315396,0.962564692605009,-4.49419414236621,6.98338959845371e-06,0.0010871980430619
"Jam2",37.1624923113775,-3.71282958459544,0.826463700417962,-4.4924291081602,7.04153617973095e-06,0.0010871980430619
"Fzd1",16.9103597983973,-2.01782600208231,0.451782007792204,-4.46637087639489,7.95576428293267e-06,0.00121528531211309
"Tnfrsf11b",23.9775263758956,-5.96881229256244,1.33769893303819,-4.46199974085803,8.11983242856391e-06,0.00122729130359736
"Krt19",808.75790884081,-4.38641703241861,0.987608223648901,-4.44145454379894,8.93528238822266e-06,0.00133647624804676
"Fes",20.3264648395948,-2.03022922236032,0.457989281132001,-4.4329186424238,9.29659533456115e-06,0.0013761836330821
"Nudcd2",74.907900026636,-0.760205419225528,0.171914262006883,-4.42200321457384,9.7790001388447e-06,0.00141217018568425
"AI661453",15.9899947383241,-4.89277866913296,1.10712683991334,-4.41934789469645,9.899917047162e-06,0.00141217018568425
"Lrrc59",127.242854469335,-0.911066802767422,0.206201748407092,-4.41832724409667,9.94677391284331e-06,0.00141217018568425
"Prss22",22.4399123460478,-5.79305427166193,1.31134348245007,-4.41764827384385,9.97806188286027e-06,0.00141217018568425
"Tnip3",12.2289754102755,-4.61860812507557,1.04615549116291,-4.41483905986244,1.01085165710231e-05,0.00141217018568425
"Anxa10",15.2920387660984,-7.00326672757531,1.58646507518417,-4.41438443059474,1.01297812609149e-05,0.00141217018568425
"Eftud2",95.0352702166622,-0.923310011476358,0.209364972100576,-4.41005007768354,1.03346717098284e-05,0.00142688029885987
"Arhgdia",339.127780880905,-0.827252374623141,0.187869183660377,-4.40334257330153,1.06595642355122e-05,0.00145772078912114
"Klf15",9.01940976946508,3.77123244439673,0.857157490572146,4.39969607204794,1.08402593856919e-05,0.00146844608036934
"Gcnt1",13.984128680324,-2.06731894163355,0.470359339921463,-4.39519058339254,1.10675608469907e-05,0.00148522529160692
"Il1f6",18.7867577324932,-4.83087099830181,1.10235344609491,-4.38232493889796,1.1741950689008e-05,0.00156113583280987
"Fer1l4",5.54408831877498,-5.51591935825583,1.25947783773145,-4.37952871659178,1.18936248476959e-05,0.00156679412099143
"Slc44a2",66.5020669821452,-1.39502631954223,0.318993238258941,-4.37321595641418,1.22429506238655e-05,0.00159352262459448
"Ncmap",8.88908595797819,-4.47256908950436,1.02303254252947,-4.37187372206736,1.2318477006058e-05,0.00159352262459448
"Vti1b",69.4237980570725,-0.932533580355882,0.214129385558816,-4.35500049618243,1.33066616706404e-05,0.00170598531186362
"Sdcbp2",20.3327301437902,-2.86809591924029,0.659534842926801,-4.34866474455331,1.36968908025747e-05,0.00174047482331124
"Zbtb16",6.47959605436373,4.1232075929368,0.94910558080627,4.3443086589314,1.39714958538504e-05,0.00175979569267928
"Nhp2",127.670120688922,-0.866355427569256,0.199843094377088,-4.33517820703132,1.4564208560334e-05,0.00181849974537248
"Cfh",24.8897875273027,-1.9724977180814,0.457040554701275,-4.31580457749671,1.59022618895041e-05,0.00196845326268439
"Olfm4",145.452864841362,-8.26667393810543,1.92364309783573,-4.29740524497823,1.72809092933366e-05,0.00212082544053863
"Prkcd",71.7946242000748,-1.1132939779798,0.259458396987107,-4.29083811087879,1.78000046397261e-05,0.00216601920865955
"Shisa5",122.320700739647,-1.01228602672252,0.236125029484488,-4.28707633804243,1.81040092207804e-05,0.00218449973446375
"Pdgfb",20.0985629869819,-2.43098307448739,0.567855195756508,-4.28099116227823,1.8606274790629e-05,0.00222639583098868
"Fam183b",19.0778819219439,4.71688663229845,1.1027476653367,4.27739434919435,1.89093652829663e-05,0.00224396343882738
"Dnajb11",93.2848653072046,-1.14028181817473,0.266753231042916,-4.27466919038471,1.91421298290532e-05,0.00225296591979815
"Mmp13",46.3788264192773,-4.03162700354566,0.944108939663571,-4.27029851553181,1.95211506831442e-05,0.00227889595657942
"Il18rap",5.815138875717,-3.79831436726825,0.890377486063778,-4.26595958087397,1.99044816549429e-05,0.00230490687163972
"Mecom",16.8391549669004,-2.82380525132833,0.662373858416578,-4.26315926488812,2.01556751523366e-05,0.00231532271609921
"Adam28",3.95916862089874,-5.01718533459842,1.17920473994282,-4.25471944324248,2.09311294409047e-05,0.00238531815588849
"Ceacam1",196.212766237175,-3.82026297455025,0.899761238588952,-4.24586302533032,2.17753633263323e-05,0.00244758472757915
"Slfn2",53.1638584969762,-3.06156110109658,0.721144450232692,-4.24542004047692,2.18184306100794e-05,0.00244758472757915
"Muc1",65.6514214302294,-3.47437923858881,0.822342686058378,-4.22497736952227,2.38964790698549e-05,0.00265991893770579
"Thbs2",17.3416187331223,-3.37847700974554,0.801013559121981,-4.21775258517323,2.46749347316077e-05,0.00272465073762917
"Ank",81.5129282064342,-1.46811950789257,0.348218308182914,-4.21608937092816,2.48575281446772e-05,0.00272465073762917
"Mest",84.5071489689771,3.72959118807494,0.885314182320871,4.21273177652902,2.52300603910279e-05,0.00274453361480886
"Armcx1",24.2118275221218,2.3810720611214,0.566511745570486,4.20304094264388,2.6335293165031e-05,0.00284322161320812
"Tmprss11g",12.684897691894,-5.32580992929189,1.267823076627,-4.2007516880518,2.66030241740568e-05,0.00285069271727822
"Runx1",14.8296332340497,-2.45009463546204,0.583560463486579,-4.19852746847095,2.68656269269364e-05,0.00285750768180652
"Sept10",23.6273871657459,1.22012260663115,0.290742594774231,4.19657328702941,2.70983801278548e-05,0.00286107088423431
"Baiap2",35.4002738435022,-1.3012117249152,0.310518296503428,-4.19045106058939,2.78400459440163e-05,0.00291792131175277
"2310007B03Rik",8.55948103951832,-6.65464828851791,1.58926930159226,-4.18723767070234,2.82370093833226e-05,0.00293808128793572
"Pla1a",10.0923035592708,-2.91154245265569,0.696520226098323,-4.18012620963671,2.91347349436523e-05,0.00300968100040219
"Gnpat",56.5655171768106,0.771732278235198,0.184907506036511,4.17361249836345,2.99807514421957e-05,0.00307495435684635
"Ranbp2",41.2969459396959,1.18764236803083,0.284835447548382,4.16957361962155,3.05170028755049e-05,0.00310775634247784
"Atp10b",12.9347465384838,-4.94712586899232,1.18780097264983,-4.16494512372382,3.11427463073536e-05,0.003149145733995
"Lama3",22.6541631668173,-3.92095462844639,0.944027200286979,-4.15343395535048,3.2752277297725e-05,0.00327832515801437
"Msrb2",19.6650205854622,2.02993878418496,0.488839677219576,4.15256551131622,3.28768593045525e-05,0.00327832515801437
"Trib2",17.639947783447,-2.20470377847573,0.531889133305826,-4.1450438454588,3.39748695250626e-05,0.0033644493207612
"Xndc1",46.6160973830096,1.2977164965021,0.31340940981455,4.14064305621832,3.46333535208351e-05,0.00340616659729911
"Igf2bp2",18.2560396316184,-3.88282880637506,0.938941091957166,-4.13532738063634,3.54448965955079e-05,0.00346226714431903
"Slc16a3",104.326231798076,-2.40621755872765,0.584879156147468,-4.11404224861959,3.88790230167239e-05,0.00376902988817843
"Zfp869",30.2494340709662,1.00068643094726,0.243317746575185,4.11267342819177,3.91103456604628e-05,0.00376902988817843
"Atp2c2",4.15927676618418,-5.09716088017184,1.24027079126965,-4.10971613300183,3.96145788311605e-05,0.00379217158291089
"Gpx3",130.99920393633,-2.78404244851653,0.678304552417961,-4.10441362746603,4.05341673254529e-05,0.00385450403063695
"Rbm12b1",15.4133355786248,1.37401895849749,0.335421262629393,4.09639790789187,4.19628418253345e-05,0.00396410819585512
"Amotl2",12.9153328299769,-1.76639966703904,0.431466344885708,-4.09394542118215,4.24094180804795e-05,0.00398011002756605
"B3gnt7",6.02123109352217,-3.86729994284533,0.945010329539579,-4.09233615967936,4.27048964161253e-05,0.00398181563402041
"Hpn",14.5970092293903,-3.15446166101852,0.771173962542521,-4.09046702072049,4.3050542677256e-05,0.00398814672453367
"Pglyrp1",91.8614524037369,-3.6944586565594,0.905250669793875,-4.08114435021697,4.48145107017739e-05,0.00412494589209469
"Mum1l1",14.7552198795396,4.13978856726878,1.01548949973917,4.07664340038188,4.56904819168261e-05,0.0041787874512338
"Rn18s-rs5",1913.06541647973,-1.19992725338118,0.295724822524056,-4.05758043284844,4.95837430371475e-05,0.00450615801436962
"Ankrd1",11.9782462303432,-5.26992664025592,1.30117456213612,-4.05013039265412,5.11891016916162e-05,0.00462279440999948
"Lims1",52.6251828352965,0.917477069335398,0.226656439182497,4.04787559817205,5.16846023428313e-05,0.00462457304515184
"Tmem189",57.3984831187234,-1.33047182296553,0.328745801572498,-4.0471142645821,5.18529326742424e-05,0.00462457304515184
"Srgn",136.395656866565,-2.18158793081769,0.540861251835841,-4.03354450593889,5.49417689609424e-05,0.00486980778092699
"Rac3",63.6528872773932,-2.25923404388722,0.560692833385699,-4.02936137108266,5.59285862052203e-05,0.00492686238847091
"Trim2",21.4013908947556,1.75085839469137,0.434909238818926,4.02580179590147,5.67815027812819e-05,0.00497149755144163
"Mfap5",11.083150408855,-3.37534545493154,0.83911963398484,-4.02248418250277,5.75875226901986e-05,0.0050115105352034
"A730017C20Rik",13.5497860419238,5.61292419663609,1.39821886478931,4.01433876911814,5.96126759889842e-05,0.00515649647304713
"Atp6v0d2",19.1561645818866,-4.18970313080575,1.04466470228956,-4.01057212101002,6.05717941617167e-05,0.00520808618184485
"Cdh6",11.2402506882564,-4.27835522617831,1.06923606435615,-4.00131960452957,6.29902083704568e-05,0.00538378810709161
"Gfra4",25.3851692859537,2.92447908409367,0.732428307989718,3.9928537062152,6.52828481974654e-05,0.00553754350578644
"Cdh1",106.565597489362,-3.0102139821466,0.754325387727887,-3.99060409621596,6.59052148617429e-05,0.00553754350578644
"Fcer1g",93.0660986467246,-1.4436614580666,0.361778473450109,-3.99045704488465,6.59460923107098e-05,0.00553754350578644
"Gda",23.8554079921911,-2.52736605806595,0.633731279501656,-3.98807213690538,6.66124104827451e-05,0.00556097443094033
"Fam107b",65.5475029535769,-1.72562369569142,0.432992111436406,-3.98534673060635,6.73816599162862e-05,0.00559267777305176
"Gm8355",109.574220382568,-2.84833926540292,0.715557775763643,-3.98058600140733,6.87455872402088e-05,0.0056396081496642
"Neu1",52.3238115413557,-1.027154804635,0.258072510472777,-3.98010157204771,6.88858289400275e-05,0.0056396081496642
"Dock3",5.22949067549731,5.22563523345664,1.31321245407562,3.97927632900421,6.91253593105996e-05,0.0056396081496642
"Mmp3",70.6530452639318,-6.61434989845781,1.66580757205209,-3.9706566409166,7.16748136853553e-05,0.0057978707840757
"Ecm1",314.988985356436,-2.80106259087954,0.705557404794079,-3.96999956608357,7.18727626969478e-05,0.0057978707840757
"Hcfc2",29.0485767130392,1.11837553217016,0.282163944869671,3.96356640352022,7.38383124404621e-05,0.00588907526981432
"Arg1",204.883531951377,-2.71811717640852,0.686070798304353,-3.96186105446616,7.43678164575461e-05,0.00588907526981432
"Medag",31.6023975158873,-3.15442296045927,0.796310601384675,-3.96129720610797,7.45436776254658e-05,0.00588907526981432
"Mmp10",3.92987805353704,-5.02485415150291,1.26858975749717,-3.96097644790744,7.46438957522256e-05,0.00588907526981432
"Cnot1",47.6897408864978,0.788161183877274,0.199576708636237,3.94916415479039,7.8424558359514e-05,0.00612639066097944
"Nsmce4a",114.508711972309,0.915303020795992,0.231798422703988,3.94870254128026,7.85759173968405e-05,0.00612639066097944
"Npc2",157.907083461903,-1.5149142086561,0.383753773341819,-3.94762035944003,7.89318387270142e-05,0.00612639066097944
"Guca2b",19.9543403726665,-5.14726578460073,1.30642746135884,-3.93995528787108,8.14967969830408e-05,0.00627936870719469
"Rpl36al",662.996203704803,-0.900560881690876,0.228619200500245,-3.93913057048727,8.17774182217012e-05,0.00627936870719469
"Tnnc1",14.0052239471477,3.73043535719863,0.950119130931471,3.92628170063412,8.62691149406243e-05,0.00658903309272566
"5730559C18Rik",19.905689447706,-2.88396173864613,0.73812522491158,-3.90714426402593,9.3393396642035e-05,0.00702483692280055
"Cbx5",80.0560403547983,1.04241036986209,0.26680309507714,3.90704001975952,9.34336831366235e-05,0.00702483692280055
"Capn2",93.4530735234855,-0.805697370903945,0.206219346818015,-3.90699215828163,9.34521852974933e-05,0.00702483692280055
"Gng13",5.20826702741549,-4.93490616172522,1.2634963310982,-3.90575424737159,9.39319374035591e-05,0.00702483692280055
"Sprr2g",35.9788903505444,-3.9903031210793,1.02278606886898,-3.90140542830415,9.56358237025521e-05,0.00708257985514635
"Ikzf5",18.6833881376525,1.35653671216729,0.34771696390953,3.90126698713566,9.56905419526702e-05,0.00708257985514635
"Mdfi",24.9874472597622,-2.40973915055523,0.618351877422681,-3.89703539123894,9.73773933754551e-05,0.00717047175117005
"Rab25",81.0153287578246,-3.51079905698999,0.901260708194548,-3.89543117221099,9.80241958052343e-05,0.00718127258962939
"Arl2bp",72.4978990815526,0.874488994755267,0.224579209834161,3.89390004266658,9.8645310786473e-05,0.00719009145981201
"Sirt7",34.9359755113752,-1.20279171090191,0.309420624459384,-3.88723832809597,0.000101391193699556,0.00735290985016123
"Plscr1",61.2511777946496,-1.39481930755626,0.358979572463668,-3.88551164063084,0.000102114599625177,0.00736815847245186
"Nfe2l3",16.9002968184623,-3.19464716763218,0.822966311783829,-3.88186870092846,0.000103656842869372,0.00741464769661982
"Tmem80",42.7066361043137,1.1549595074668,0.297550900059494,3.88155272672967,0.000103791641968144,0.00741464769661982
"Mnda",18.9479377032142,-3.23114343145035,0.833061404489732,-3.87863777392196,0.000105043029494538,0.00746689534906967
"Sh3bgrl3",366.016312621567,-2.00023535626694,0.516237651059322,-3.87464058881108,0.000106782182098243,0.00755312981649591
"Arhgap27",16.2902150855105,-2.21540337662841,0.572159196767352,-3.87200518517441,0.000107943655343317,0.00759785758369943
"Ptgis",11.7627078642289,-3.86100156818437,1.00127873615683,-3.85607067119383,0.000115224189213428,0.00799357858303204
"Disp2",9.57403160620282,5.6069003986581,1.45411729643955,3.85587903560927,0.000115314502851888,0.00799357858303204
"Cetn3",107.243328515417,0.658872852146401,0.170875318796284,3.85586904409467,0.000115319213463782,0.00799357858303204
"Shisa6",5.67048702658224,4.83719770335661,1.25482863893375,3.85486715338827,0.000115792488701906,0.00799357858303204
"Camp",7.62784752005958,-4.98912705361899,1.29578607765931,-3.85027061151274,0.000117987389541251,0.00810612883455898
