genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Nme4,186.7757055,-4.505513726,0.709290936,-6.352137743,2.12343048220411E-10,2.56956322651519E-06
Gm5637,65.73445293,-5.409632286,0.975571083,-5.545092899,2.93798140973052E-08,0.000177763
Otud3,37.31534049,6.389486002,1.254506699,5.093225893,3.52021854747722E-07,0.001419939
Mgme1,38.46234375,-4.559342328,0.948178222,-4.808528841,1.52045095403287E-06,0.004599744
Gm6024,32.57945009,-9.509529102,2.091102864,-4.547614212,5.42574771052919E-06,0.010169695
Edem2,120.800231,7.620107056,1.678366848,4.540191594,5.62031330272159E-06,0.010169695
Gm5385,56.41644144,-5.158256282,1.138547662,-4.530558054,5.88280861788294E-06,0.010169695
Rpl9-ps6,29.36695275,9.239567633,2.125676152,4.346648772,1.38233303792691E-05,0.015069996
Tyrobp,23.06203545,-5.911734086,1.362636473,-4.338452848,1.43489260809016E-05,0.015069996
Trdn,67.19151519,-3.301961849,0.763018954,-4.327496497,1.50813743338995E-05,0.015069996
Nono,138.0876561,3.414814486,0.792784195,4.307369528,1.65207484669091E-05,0.015069996
Me1,32.63369927,-5.529353941,1.286278996,-4.298720541,1.71786911063999E-05,0.015069996
Dlec1,136.0132874,3.612767086,0.843930581,4.280881824,1.86154197336376E-05,0.015069996
U2af1l4,102.3344896,6.204322792,1.449346105,4.28077377,1.86244614662822E-05,0.015069996
Gnal,44.42234565,2.949941787,0.689221355,4.28010793,1.86802699705539E-05,0.015069996
Ints11,101.5711789,5.26602873,1.234792733,4.264706611,2.00165045802517E-05,0.015138733
Frg2f1,15.44698183,-5.954302996,1.402792458,-4.244607221,2.18976644499077E-05,0.015587273
Lrrc40,26.11637894,5.909640753,1.399301219,4.223279929,2.40772464670018E-05,0.016186598
Sdr39u1,33.65036155,5.457446292,1.296978428,4.207815778,2.5785093848088E-05,0.016422391
Mob2,144.4682035,5.419477298,1.296331151,4.180627222,2.90706109129015E-05,0.017589173
Gbp8,36.35605279,5.134394052,1.234575049,4.158835103,3.19874704752118E-05,0.018432399
Gm15794,50.06247965,5.045661346,1.223912313,4.122567681,3.74672475023644E-05,0.01932777
Kcnk7,31.0466321,5.786095329,1.405205189,4.117615972,3.82811902863571E-05,0.01932777
Mmp19,19.08750715,-4.670747712,1.134418753,-4.117304744,3.83329053530391E-05,0.01932777
Phax,53.93190151,5.993377742,1.464901218,4.091318697,4.28927205058543E-05,0.020615279
Gm14418,32.12397746,5.915435681,1.452764063,4.071848851,4.6641443069788E-05,0.020615279
Gm10571,116.2746823,4.889823811,1.201290214,4.070476689,4.69170359706012E-05,0.020615279
Gm12713,56.48466125,-5.815796507,1.430131868,-4.06661556,4.77008366229607E-05,0.020615279
Vmn1r80,206.7876212,-3.08778028,0.765020134,-4.036207866,5.43220914398791E-05,0.02239737
Mest,28.42026281,-5.279840148,1.312888187,-4.021545934,5.78174301327453E-05,0.02239737
Kif17,62.6422417,3.584001585,0.892041749,4.017750949,5.87562484738593E-05,0.02239737
Gm7289,70.3000522,-7.014923273,1.746801982,-4.015866334,5.92278190812773E-05,0.02239737
U2af1,34.58526612,2.886602739,0.728850451,3.960487005,7.47970636749762E-05,0.027427857
Septin5,67.48288005,11.80197904,3.00101618,3.932660917,8.40107043121488E-05,0.029092045
Gm28438,122.2740575,-11.94209371,3.036937952,-3.932281101,8.41435898012466E-05,0.029092045
Nprl2,42.29222897,4.903969261,1.249755185,3.923943921,8.71110212675096E-05,0.029281402
Il18r1,71.03542949,-3.21896985,0.823870332,-3.90713165,9.33982705817563E-05,0.029857585
Cox10,183.2446277,-3.506766293,0.898693574,-3.902071178,9.53731013965928E-05,0.029857585
Eefsec,385.6147707,-4.81122189,1.234615175,-3.896940509,9.74155363211779E-05,0.029857585
Cdkl1,129.9529557,3.110903514,0.799579751,3.890673208,9.99664894151503E-05,0.029857585
Gm9795,62.07600992,11.66910482,3.001476715,3.887787889,0.000101162,0.029857585
Bex1,49.24949037,4.128127881,1.064335478,3.878596518,0.000105061,0.03027003
Fam20a,25.27505568,4.311051104,1.11651694,3.861160497,0.00011285,0.031758016
Mxi1,111.9045981,4.236653802,1.099954262,3.851663609,0.000117318,0.031782783
Umps,59.65130568,4.826213497,1.253611115,3.849849,0.000118191,0.031782783
Map3k1,46.18802983,-4.572274032,1.189944611,-3.842425932,0.000121824,0.032047706
Mlycd,71.77937778,7.171805791,1.874202682,3.826590294,0.000129931,0.033452958
Nudt16l1,128.9260722,4.091695007,1.07227917,3.815885937,0.000135695,0.034209321
Sorbs3,83.59077704,4.635267886,1.219475067,3.80103539,0.000144093,0.0349219
Krt79,92.58058394,4.010712577,1.055258932,3.800690482,0.000144293,0.0349219
Cpn1,30.25011116,4.486605808,1.185649778,3.784090287,0.000154272,0.03660477
Pagr1a,83.4725356,5.143377744,1.369544226,3.755539722,0.000172968,0.040251725
2610528A11Rik,27.05881356,-5.213224972,1.390168078,-3.750068107,0.000176787,0.040364038
BC024139,39.42165966,4.74663509,1.278322159,3.713175945,0.000204674,0.045283591
Nat8f4,38.72692506,6.223021068,1.676565702,3.711766894,0.000205817,0.045283591
Inafm1,151.2276545,4.679679025,1.262443634,3.706841952,0.00020986,0.045348458
Csdc2,170.8754832,2.521101451,0.683616904,3.687886355,0.000226125,0.048005855
Fcgbp,201.2874749,2.489293336,0.6794026,3.663944374,0.000248361,0.050542167
Pdia4,46.99698393,2.90099044,0.792050684,3.662632326,0.000249637,0.050542167
Zfp956,47.40338963,5.205941601,1.421749661,3.661644341,0.000250602,0.050542167
Sftpd,346.8824885,3.176215997,0.868827326,3.655750575,0.000256431,0.050869944
Gm42453,18.39844538,-4.480278557,1.232475793,-3.635185845,0.00027778,0.053749834
Chaf1a,15.78411298,4.0322037,1.109794402,3.633288917,0.000279831,0.053749834
Nudt18,121.2555783,4.115819651,1.134518248,3.627812649,0.000285833,0.054044682
Gbp6,33.50285197,3.723059182,1.031357151,3.609864127,0.000306357,0.057034329
Agap3,113.7037467,5.840788595,1.627047918,3.589807362,0.000330922,0.060674126
Cemip,70.96467772,-3.388293864,0.947044283,-3.577756527,0.000346556,0.062449632
Sntn,97.82204918,-3.371408135,0.943189003,-3.574477782,0.000350928,0.062449632
Slc38a5,227.1838408,-4.471260902,1.252558945,-3.569700988,0.000357389,0.062677731
Fam174c,252.8536569,4.543345987,1.280951209,3.546853272,0.000389862,0.066844797
Kcnk9,53.93767166,-2.950190251,0.83272658,-3.542807835,0.000395891,0.066844797
Nbl1,43.55631488,5.884585447,1.6615654,3.541591229,0.000397721,0.066844797
Sspo,59.6195363,4.395475793,1.242557176,3.537443491,0.000404021,0.066973338
Cmpk2,32.23393138,-2.590741648,0.734033565,-3.529459375,0.00041641,0.068094229
Glt1d1,77.15700628,-3.268304525,0.92776188,-3.522783803,0.00042704,0.068901409
Cptp,11.61870463,8.262606926,2.350188981,3.515720222,0.000438563,NA
Neu1,11.73121233,4.539917619,1.295445787,3.504521505,0.000457429,NA
Col7a1,44.26749927,5.072240879,1.452769634,3.491428208,0.000480446,0.075515428
Sap25,172.7203676,5.570624039,1.595531554,3.491390707,0.000480513,0.075515428
Hps1,79.22301442,4.650985015,1.338712035,3.474223653,0.000512334,0.079483991
Hsdl1,272.1604216,2.925237538,0.842852085,3.470641634,0.000519216,0.079532128
Fam186b,28.1028711,-3.431565699,0.98970623,-3.467256844,0.000525799,0.079533704
