genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,18996-L,18996-S,18999-L,18999-S,19151-L,19151-S,19152-L,19152-S,19153-L,19153-S,19313-L,19313-S,FT1,FT2,FT3,FT4,13604T,2611T,14576T,2942T,14109T,14104T,13179T,14397T,14474T,13085T,13576T,2163T
Nme4,186.7757055,-4.505513726,0.709290936,-6.352137743,2.12343E-10,2.56956E-06,49.10491416,4.251173788,190.3833464,2.534491322,96.98919816,11.7602102,64.45727853,7.664617131,30.48497095,0,223.5536281,9.63112006,9.64,13.38,8.82,9.33,24.65,6.48,17.35,2.21,3.65,18.88,22.1,32.7,24.14,6.17,16.92,11.78
Gm5637,65.73445293,-5.409632286,0.975571083,-5.545092899,2.93798E-08,0.000177763,6.735913225,0,145.8884906,0.969442931,15.9261702,0,11.3095913,1.294141123,14.01722414,0.272874918,56.5419239,8.747464794,1.32,1.21,1.09,1.33,1.03,1.12,3.2,0.52,0.49,2.16,3.08,2.11,1.67,1.03,4.5,0.91
Otud3,37.31534049,6.389486002,1.254506699,5.093225893,3.52022E-07,0.001419939,1.067498134,6.213253998,0,0.633622831,0,55.22185661,0.591351179,20.34071469,0,12.89954159,0,42.61770626,13.47,14.59,16.2,14.8,7.96,21.16,12.57,14.38,11.55,10.47,15,11.67,9.26,7.94,13.13,9.53
Mgme1,38.46234375,-4.559342328,0.948178222,-4.808528841,1.52045E-06,0.004599744,20.28246454,0.654026737,30.58790607,0.633622831,2.417176278,0,38.14215105,0.294792967,11.13873939,3.224885399,18.68880795,1.68544601,9.07,8.54,8.78,8.66,9.12,6.3,17.94,4.78,17.51,12.7,9.86,19.78,19.72,7.44,14.54,9.58
Gm6024,32.57945009,-9.509529102,2.091102864,-4.547614212,5.42575E-06,0.010169695,20.54933908,0,43.77234834,0,0,43.20598966,0,0,1.465623603,0,29.80746584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edem2,120.800231,7.620107056,1.678366848,4.540191594,5.62031E-06,0.010169695,0,39.89563094,0,47.52171229,147.447753,1.472582843,0,46.57728872,39.27871257,40.74518667,0,0.782528505,71.07,70.07,73.28,69.95,38.8,40.54,36,39.68,22.9,36.41,29.45,41.44,24.42,51.7,29.17,29.11
Gm5385,56.41644144,-5.158256282,1.138547662,-4.530558054,5.88281E-06,0.010169695,33.07109219,0.353174438,18.21826233,0,36.25764417,2.175638888,57.36106438,0,4.332383372,3.765673873,8.840515861,0.951073106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl9-ps6,29.36695275,9.239567633,2.125676152,4.346648772,1.38233E-05,0.015069996,37.43182206,0,0,1.584057076,0,3.003966737,0,22.15663937,0,0,0,58.68241452,93.36,97.33,107.16,117.47,116.38,83.69,72.3,78.72,66.97,105.26,50.08,134.3,77.63,91.87,128.08,72.66
Tyrobp,23.06203545,-5.911734086,1.362636473,-4.338452848,1.43489E-05,0.015069996,10.67498134,0,12.92075343,0,0.60429407,0,28.97620778,0,1.172498883,0,17.26940481,1.68544601,92.01,84.86,87.52,81.64,512.93,103.95,277.77,142.27,113.01,306.56,131.02,117.91,165.49,75.93,75.63,103.04
Trdn,67.19151519,-3.301961849,0.763018954,-4.327496497,1.50814E-05,0.015069996,11.54232357,1.96208021,214.9116828,10.13796529,7.553675869,1.022626974,4.139458254,0,2.051873045,0.496136215,17.505972,1.928631792,3.83,4.72,3.93,5.47,0.08,0.3,5.65,0,0.06,16.66,0.12,4.06,0.27,0.11,0.03,0.42
Nono,138.0876561,3.414814486,0.792784195,4.307369528,1.65207E-05,0.015069996,2.668745335,34.66341704,3.691643836,61.46141456,11.78373436,54.91506852,0.29567559,36.25953489,15.24248548,183.3223315,33.82910806,33.81486253,192.59,184.82,185.19,182.15,229.36,249.64,362.36,155.5,488.45,429.71,400.28,192.93,314.51,190.88,241.07,417.93
Me1,32.63369927,-5.529353941,1.286278996,-4.298720541,1.71787E-05,0.015069996,2.217727373,0,3.691643836,0.633622831,5.438646626,0,33.11566603,0,39.27871257,5.457498367,9.699254758,0,30.17,9.8,21.4,11.2,68.43,119.21,75.98,255.75,10.46,48.85,72.39,45.09,48.56,81.06,39.64,35.06
Dlec1,136.0132874,3.612767086,0.843930581,4.280881824,1.86154E-05,0.015069996,3.029025955,41.1546324,36.06736028,68.70689163,0,9.487421753,3.725512429,110.1641316,74.91974736,96.82098239,0.473134378,19.92919518,43.96,46.75,47.98,45.89,1.26,7.03,1.65,0.19,4.05,1.42,6.15,0.44,3.2,1.14,3.36,6.79
U2af1l4,102.3344896,6.204322792,1.449346105,4.28077377,1.86245E-05,0.015069996,0.221505863,22.23690905,0,16.47419359,30.51685051,2.300910692,0,102.5113062,74.16055433,78.06703346,0,7.225747825,62.04,68.17,74.21,67.97,49.22,56.52,32.57,36.85,133.16,51.59,41.78,37.67,75.89,76.01,71.16,57.16
Gnal,44.42234565,2.949941787,0.689221355,4.28010793,1.86803E-05,0.015069996,1.812078082,29.02570657,3.362032779,19.92426991,1.314339601,11.54290197,0.969815934,29.0164717,12.41090067,34.23836021,2.465030112,7.165553324,20.73,21.38,18.92,22.49,1.15,0.9,1.07,3.06,4.2,1.14,1.73,2.44,0.55,0.74,2.95,1.11
Ints11,101.5711789,5.26602873,1.234792733,4.264706611,2.00165E-05,0.015138733,0.8006236,16.02365505,1.115403816,163.8263509,21.15029243,9.970612999,0,63.63400977,21.0932549,22.32612968,0,11.55734407,23.79,28.58,26.17,21.93,33.64,49.49,41.68,30.04,58.53,29.55,27.9,48.41,69.25,37.64,45.4,39.98
Frg2f1,15.44698183,-5.954302996,1.402792458,-4.244607221,2.18977E-05,0.015587273,6.671863337,0,10.28386497,0.316811415,1.812882209,0,21.58431804,0,2.931247207,0,0.946268757,0,8.64,9.41,7.42,8.28,2.78,5.19,1.77,3.7,12.37,2.8,3.36,6.36,8.81,9.03,7.17,9
Lrrc40,26.11637894,5.909640753,1.399301219,4.223279929,2.40772E-05,0.016186598,0,0,0.263688845,44.03678672,0,29.40052551,0,10.6125468,0.293124721,0.496136215,0,4.81556003,19.29,16.65,17.61,19.14,20.27,19.38,37.39,15.72,46.69,34.96,45.21,28.33,59.25,29.46,37.63,27.34
