,Unnamed: 0,external_gene_name,hsapiens_homolog_associated_gene_name,log2FoldChange,padj
0,1,mt-Nd1,MT-ND1,-0.137260334,0.849622772
1,2,mt-Nd2,MT-ND2,-0.315674969,0.696739723
2,3,mt-Co1,MT-CO1,0.116548889,0.884932218
3,4,mt-Co2,MT-CO2,-0.966155862,0.084013617
4,5,mt-Atp8,MT-ATP8,0.016240994,0.991039083
5,6,mt-Atp6,MT-ATP6,-0.392315174,0.585694219
6,7,mt-Co3,MT-CO3,0.590409174,0.295149025
7,8,mt-Nd3,MT-ND3,-0.090322219,0.950318437
8,9,mt-Nd4l,MT-ND4L,-0.066411023,0.950422797
9,10,mt-Nd4,MT-ND4,0.04332832,0.965605682
10,11,mt-Nd5,MT-ND5,0.106651972,0.893376567
11,12,mt-Nd6,MT-ND6,0.054507679,0.956235445
12,13,mt-Cytb,MT-CYB,-0.105135945,0.862832456
13,14,Kdm5d,KDM5D,,
14,15,Uty,UTY,,
15,16,Ddx3y,DDX3Y,,
16,17,Usp9y,USP9Y,,
17,18,Sry,SRY,,
18,19,Chst9,CHST9,1.033712167,
19,20,Cdh2,CDH2,1.459185467,0.450108097
20,21,Cep120,CEP120,0.619273484,0.300212549
21,22,Csnk1g3,CSNK1G3,0.245371595,0.707821172
22,23,Dsc3,DSC3,,
23,24,Zfp608,ZNF608,0.361952739,0.614213305
24,25,Gramd3,GRAMD2B,-1.179692556,0.039495758
25,26,Dsc2,DSC2,-0.863256308,
26,27,Dsc1,DSC1,,
27,28,Aldh7a1,ALDH7A1,-0.030134236,0.984788473
28,29,Dsg4,DSG4,,
29,30,Phax,PHAX,-0.262367643,0.570204744
30,31,Tex43,TEX43,,
31,32,Lmnb1,LMNB1,0.050064041,0.96220709
32,33,Dsg3,DSG3,-5.441013,
33,34,C330018D20Rik,C5orf63,-0.09619015,0.93701933
34,35,Dsg2,DSG2,-1.472583298,0.493963143
35,36,Ttr,TTR,1.566962311,0.716089534
36,37,B4galt6,B4GALT6,0.626917031,0.766046482
37,38,Megf10,MEGF10,-1.739193745,0.470207111
38,39,Trappc8,TRAPPC8,0.343041284,0.571313329
39,40,Rnf125,RNF125,1.091453809,0.497318361
40,41,Rnf138,RNF138,0.381322055,0.633861811
41,42,Mep1b,MEP1B,,
42,43,Fbn2,FBN2,-1.684152165,0.566008123
43,44,Klhl14,KLHL14,-1.236201221,
44,45,Slc27a6,SLC27A6,0.205434371,
45,46,Isoc1,ISOC1,0.308863551,0.800375632
46,47,Adamts19,ADAMTS19,-0.707781106,
47,48,Ccdc178,CCDC178,,
48,49,Krtap8-1,KRTAP8-1,,
49,50,Klf9,KLF9,0.156422075,0.876723387
50,51,Krtap7-1,KRTAP7-1,,
51,52,Krtap11-1,KRTAP11-1,,
52,53,Rbm14,RBM14,0.196876197,0.738520321
53,54,Rabl3,RABL3,-0.080441439,0.945699521
54,55,Habp2,HABP2,-3.29947368,
55,56,Hgd,HGD,0.734897587,
56,57,Chsy3,CHSY3,-2.102741603,
57,58,Ndufb4,NDUFB4,-0.229600661,0.784158795
58,59,Ccs,CCS,-0.114697816,0.873344861
59,60,Marf1,MARF1,0.082408639,0.909764296
60,61,Asxl3,ASXL3,1.989509359,
61,62,Ccdc87,CCDC87,,
62,63,Ctsf,CTSF,1.307400482,0.036942896
63,64,Mir484,MIR484,,
64,65,Fstl1,FSTL1,-2.15343559,0.013033658
65,66,Smim3,SMIM3,-0.632240889,0.639087661
66,67,Dctn4,DCTN4,0.438760812,0.414247251
67,68,Lrrc58,LRRC58,0.24276501,0.831981156
68,69,Gpr156,GPR156,2.172695239,
69,70,Gsk3b,GSK3B,-0.2655736,0.832968488
70,71,Actn3,ACTN3,2.052407688,
71,72,Nol4,NOL4,5.625527507,
72,73,Nde1,NDE1,-0.137468492,0.740304383
73,74,Smc5,SMC5,0.760226183,0.315042209
74,75,Rbm22,RBM22,-0.127932893,0.853225383
75,76,Tiam1,TIAM1,-0.767263468,0.57958558
76,77,Myoz3,MYOZ3,,
77,78,Synpo,SYNPO,-0.834336697,0.325361099
78,79,Gm24263,RNU6-806P,,
79,80,Zdhhc24,ZDHHC24,0.463110305,0.692980552
80,81,Ndst1,NDST1,-0.25052981,0.799480768
81,82,Mamdc2,MAMDC2,-1.217192948,
82,83,Rps14,RPS14,-0.318212309,0.57386096
83,84,Ptar1,PTAR1,0.434626399,0.725582992
84,85,Bbs1,BBS1,1.11564947,0.386604435
85,86,Dtna,DTNA,1.93181187,0.234379464
86,87,Sod1,SOD1,0.05794143,0.953286074
87,88,Scaf4,SCAF4,-0.137268941,0.876373345
88,89,Apba1,APBA1,2.996399481,
89,90,Hunk,HUNK,0.244036447,0.865760527
90,91,Mis18a,MIS18A,-0.258101144,0.738263747
91,92,Cd74,CD74,-0.748134267,0.679942442
92,93,Mrap,MRAP,2.603608848,
93,94,Urb1,URB1,-0.516529944,0.556641728
94,95,Tjp2,TJP2,-0.95055186,0.23730993
95,96,Mapre2,MAPRE2,0.519495532,0.579876129
96,97,Myh11,MYH11,-0.095234448,0.978832296
97,98,Gm23207,RNU6-373P,,
98,99,Zfp397,ZNF397,0.816697451,0.125322336
99,100,Zfp24,ZNF24,0.715992259,0.237474891
100,101,Peli3,PELI3,-0.048406966,0.987234202
101,102,Ino80c,INO80C,0.131000378,0.872012544
102,103,Fxn,FXN,0.549365366,0.440763167
103,104,Tcof1,TCOF1,-0.262444286,0.740304383
104,105,Mrpl11,MRPL11,-0.372546882,0.589453386
105,106,Npas4,NPAS4,1.290914683,
106,107,Pip5k1b,PIP5K1B,1.821990597,0.067518349
107,108,Fam122a,PABIR1,0.499500492,0.525148071
108,109,Tmem252,TMEM252,1.101813691,
109,110,Pgm5,PGM5,0.017634833,0.995556096
110,111,Gm23787,SNORD114-14,,
111,112,Arsi,ARSI,0.268137413,
112,113,Mir299a,MIR299,,
113,114,Galnt1,GALNT1,0.016057364,0.987687146
114,115,Mir323,MIR323A,,
115,116,Mir494,MIR494,,
116,117,Nrap,NRAP,0.254003911,
117,118,Eva1c,EVA1C,-1.267922032,0.187152195
118,119,Mir381,MIR381,,
119,120,Gpr50,GPR50,,
120,121,Trib2,TRIB2,-2.204703778,0.003364449
121,122,Slc16a2,SLC16A2,-0.829701626,0.549938047
122,123,Mir187,MIR187,,
123,124,2700062C07Rik,C18orf21,0.03087326,0.973376084
124,125,Heatr5a,HEATR5A,-0.263307746,0.740403933
125,126,Rprd1a,RPRD1A,0.309826279,0.695649386
126,127,Slc39a6,SLC39A6,0.053001101,0.968344985
127,128,Vma21,VMA21,0.089359047,0.909026186
128,129,Igsf11,IGSF11,0.78315197,0.854662321
129,130,Camk2a,CAMK2A,3.333428118,
130,131,Htr2c,HTR2C,,
131,132,Lsamp,LSAMP,3.938726702,
132,133,Dtd2,DTD2,-0.688761573,0.435427575
133,134,Rlim,RLIM,-0.134774821,0.854662321
134,135,Gpr33,GPR33,,
135,136,Vrtn,VRTN,,
136,137,Gm22543,RNU6-539P,,
137,138,Fam169a,FAM169A,2.209195198,
138,139,Gap43,GAP43,4.062132512,
139,140,Snora35,SNORA35,,
140,141,Gm1141,PASD1,0.270626383,
141,142,Efcab1,CLXN,3.686792348,0.270402456
142,143,Mir448,MIR448,,
143,144,Slc6a7,SLC6A7,-2.36051367,
144,145,Prrg3,PRRG3,0.340272801,0.922049783
145,146,Mir382,MIR382,,
146,147,Mir134,MIR134,,
147,148,Mir668,MIR668,,
148,149,Mir154,MIR154,,
149,150,Mir496a,MIR496,,
150,151,Mir377,MIR377,,
151,152,Syndig1l,SYNDIG1L,4.301274339,0.323341082
152,153,Mir541,MIR541,,
153,154,Cdx1,CDX1,,
154,155,Mir409,MIR409,,
155,156,Mir412,MIR412,,
156,157,Mir410,MIR410,,
157,158,Nubpl,NUBPL,0.06891417,0.973839091
158,159,Elp2,ELP2,0.207367169,0.696056995
159,160,Synj1,SYNJ1,0.195489594,0.863143514
160,161,Mfsd14b,MFSD14B,0.538771377,0.387245988
161,162,Fate1,FATE1,,
162,163,Slc29a2,SLC29A2,-0.021425335,0.992662699
163,164,Il13ra2,IL13RA2,-2.95045173,
164,165,Npc2,NPC2,-1.514914209,0.006126391
165,166,Isca2,ISCA2,-0.069255704,0.935098391
166,167,Tfap2a,TFAP2A,-1.028678983,0.803318078
167,168,Arhgap5,ARHGAP5,0.355573648,0.671710171
168,169,Cnga2,CNGA2,,
169,170,B4gat1,B4GAT1,0.005723079,0.997063351
170,171,Abcb7,ABCB7,0.024656428,0.988920583
171,172,Mocos,MOCOS,-1.356664039,0.210556698
172,173,Akap6,AKAP6,-1.188672447,
173,174,Pspc1,PSPC1,-0.258225579,0.72584686
174,175,Pdgfrb,PDGFRB,-2.67044221,
175,176,Ube2v2,UBE2V2,-0.176620073,0.830734769
176,177,Casp7,CASP7,-0.01029159,0.995256147
177,178,Uprt,UPRT,-0.453554458,0.679039213
178,179,Npas3,NPAS3,,
179,180,Gabre,GABRE,-0.694858728,0.817338424
180,181,Dach1,DACH1,-1.678474173,
181,182,Brms1,BRMS1,-0.957272012,0.111982203
182,183,Mcm4,MCM4,0.175929327,0.836201358
183,184,Gcnt2,GCNT2,-0.975689813,0.171708666
184,185,Egln3,EGLN3,-1.254683792,0.339246468
185,186,Dock8,DOCK8,-0.935763556,0.406993474
186,187,Zdhhc15,ZDHHC15,-0.095035986,0.962561137
187,188,Sptssa,SPTSSA,0.343482882,0.536055265
188,189,Csf1r,CSF1R,-1.16043779,0.148891181
189,190,Paxbp1,PAXBP1,0.019584977,0.987568259
190,191,Ltbp2,LTBP2,-4.89578773,5.55488E-11
191,192,Magee2,MAGEE2,0.963304193,0.597805773
192,193,Zmym5,ZMYM5,0.03971666,0.966178763
193,194,Gabra3,GABRA3,2.620559755,
194,195,Nme8,NME8,,
195,196,Agrp,AGRP,0.734897587,
196,197,Rin1,RIN1,-1.407660998,0.323341082
197,198,Mzt1,MZT1,-0.180555343,0.821662162
198,199,Hmgxb3,HMGXB3,-0.059552802,0.95495058
199,200,Wdhd1,WDHD1,0.73788584,0.487072998
200,201,4932438H23Rik,C21orf62,-1.569056575,
201,202,Cd248,CD248,-1.884543094,0.094027627
202,203,Zbtb20,ZBTB20,0.984899228,0.386604435
203,204,Tmem151a,TMEM151A,-0.023564006,
204,205,Kank1,KANK1,0.608968737,0.646715422
205,206,Smug1,SMUG1,0.056033976,0.962561137
