,Unnamed: 0,external_gene_name,hsapiens_homolog_associated_gene_name,padj,log2FoldChange
0,1,mt-Nd1,MT-ND1,0.860920819,-0.617486646
1,2,mt-Nd2,MT-ND2,0.779154495,-0.694476493
2,3,mt-Co1,MT-CO1,0.880975906,-0.608151291
3,4,mt-Co2,MT-CO2,0.882761415,-1.662467126
4,5,mt-Atp8,MT-ATP8,,1.295364579
5,6,mt-Atp6,MT-ATP6,0.984408339,-0.242542548
6,7,mt-Co3,MT-CO3,0.894642762,-0.891803145
7,8,mt-Nd3,MT-ND3,0.86386564,-0.542903199
8,9,mt-Nd4,MT-ND4,0.919170648,-0.377437168
9,10,mt-Nd5,MT-ND5,0.903178313,0.479033501
10,11,mt-Nd6,MT-ND6,0.94908591,-0.280252556
11,12,mt-Cytb,MT-CYB,0.829044894,0.720922343
12,13,Kdm5d,KDM5D,0.707042712,-0.8187241
13,14,Uty,UTY,0.778331508,-0.624408854
14,15,Ddx3y,DDX3Y,,0.054733884
15,16,Cdh2,CDH2,0.772600733,-1.264449892
16,17,Cep120,CEP120,0.924329817,0.313752428
17,18,Csnk1g3,CSNK1G3,0.467407199,-2.149961477
18,19,Dsc3,DSC3,,-2.173846904
19,20,Zfp608,ZNF608,,-0.361525121
20,21,Gramd3,GRAMD2B,0.948035952,-0.275483757
21,22,Dsc2,DSC2,,-0.181565753
22,23,Dsc1,DSC1,0.76146654,1.669502254
23,24,Aldh7a1,ALDH7A1,0.799962527,-1.115365166
24,25,Dsg4,DSG4,,-0.543733241
25,26,Phax,PHAX,0.020615279,5.993377742
26,27,Lmnb1,LMNB1,,0.760682916
27,28,Marchf3,MARCHF3,0.94908591,-0.348622838
28,29,Dsg3,DSG3,,-0.128554305
29,30,C330018D20Rik,C5orf63,0.987867573,0.100684945
30,31,Dsg2,DSG2,0.794777946,-0.736639481
31,32,B4galt6,B4GALT6,0.333470141,-1.872841523
32,33,Prrc1,PRRC1,0.841636957,0.5768997
33,34,Ctxn3,CTXN3,,-2.812364992
34,35,Trappc8,TRAPPC8,0.621950139,-1.053477762
35,36,Lratd1,LRATD1,0.829429425,0.704385917
36,37,Trib2,TRIB2,0.739233368,1.120401733
37,38,Heatr5a,HEATR5A,0.860331872,-0.403558196
38,39,Rnf125,RNF125,,2.338735335
39,40,Slc12a2,SLC12A2,0.984990421,0.087801384
40,41,Fam169a,FAM169A,0.677867401,2.155784263
41,42,Dtd2,DTD2,0.887448517,-0.807742165
42,43,Nsa2,NSA2,0.996773366,-0.009700761
43,44,Gpr33,GPR33,,-0.120432463
44,45,Vrtn,VRTN,0.59212301,-3.223199429
45,46,Mep1b,MEP1B,0.805148665,1.209863335
46,47,Mfsd14b,MFSD14B,,-2.336736184
47,48,Garem1,GAREM1,0.957363803,-0.178708309
48,49,Fbn2,FBN2,0.640866134,0.938518941
49,50,Olfr466,OR9H1P,0.764179179,-0.748400773
50,51,Syndig1l,SYNDIG1L,0.40541539,2.280169614
51,52,Epdr1,EPDR1,,-0.232310523
52,53,Nubpl,NUBPL,0.706118701,1.273182787
53,54,Tfap2a,TFAP2A,0.575588277,-1.120665321
54,55,Npc2,NPC2,0.997330427,0.008246559
55,56,Isca2,ISCA2,,-0.380181359
56,57,Arhgap5,ARHGAP5,0.792825318,-1.036917742
57,58,Sfrp4,SFRP4,0.335704026,-2.627321819
58,59,Akap6,AKAP6,0.716489869,-0.767030203
59,60,Krtap7-1,KRTAP7-1,,-0.651883213
60,61,Isoc1,ISOC1,0.711276005,1.27000803
61,62,Bmerb1,BMERB1,,-0.764341725
62,63,Rabl3,RABL3,,-2.395842471
63,64,Npas3,NPAS3,0.774478313,-1.284822495
64,65,Ccdc178,CCDC178,,1.740615599
65,66,Hgd,HGD,,-0.073468687
66,67,Gcnt2,GCNT2,0.74106693,-1.672098634
67,68,Egln3,EGLN3,0.743771881,2.395720073
68,69,Sptssa,SPTSSA,0.342737005,3.251652052
69,70,Ndufb4,NDUFB4,0.872184128,0.75115498
70,71,Marf1,MARF1,0.893387384,-0.32067624
71,72,Ltbp2,LTBP2,,1.593294483
72,73,Minar2,MINAR2,0.859114078,-1.077061738
73,74,Nme8,NME8,,0.525212834
74,75,Fstl1,FSTL1,0.996856533,-0.006972594
75,76,Gm36028,BTN3A1,,0.782977164
76,77,Lrrc58,LRRC58,0.872321138,-0.313162613
77,78,Asxl3,ASXL3,0.835433698,-0.739261992
78,79,Gpr156,GPR156,,-2.789946365
