"","c..Ifitm1....Fcgbp....Kng2....Krt6a....Anxa8....Sprr2f....Fxyd5..."
"1","Ifitm1"
"2","Fcgbp"
"3","Kng2"
"4","Krt6a"
"5","Anxa8"
"6","Sprr2f"
"7","Fxyd5"
"8","BC017643"
"9","Klk1"
"10","Ly6a"
"11","Col7a1"
"12","Gm4204"
"13","Il1f6"
"14","Fer1l4"
"15","Cfh"
"16","Ceacam1"
"17","Slfn2"
"18","Muc1"
"19","Tmprss11g"
"20","Sept10"
"21","2310007B03Rik"
"22","Xndc1"
"23","Zfp869"
"24","Rbm12b1"
"25","Mum1l1"
"26","Rn18s-rs5"
"27","Lims1"
"28","Tmem189"
"29","A730017C20Rik"
"30","Gm8355"
"31","Mmp10"
"32","5730559C18Rik"
"33","Sprr2g"
"34","Plscr1"
"35","Mnda"
"36","Mapk1ip1"
"37","BC025446"
"38","Fam134a"
"39","Zfp866"
"40","Cldn4"
"41","4933431E20Rik"
"42","Uchl3"
"43","Serpinb6b"
"44","Itgb2"
"45","Mmgt2"
"46","Serpina3g"
"47","Gm22317"
"48","Gm25679"
"49","Ccl27a"
"50","Lilrb4a"
"51","BC100530"
"52","Fcgr3"
"53","Akr1b8"
"54","Lyz1"
"55","0610007P14Rik"
"56","Gm2000"
"57","Ccr1"
"58","Cxcl2"
"59","Psme2"
"60","Wfdc21"
"61","Lilr4b"
"62","Amy1"
"63","Hcar2"
"64","Cbr2"
"65","mt-Rnr1"
"66","Mt3"
"67","D10Jhu81e"
"68","Rpl35"
"69","RP23-345D18.4"
"70","Gm43079"
"71","Ccl6"
"72","Ifi205"
"73","Prdx6"
"74","2210013O21Rik"
"75","Zfp433"
"76","Gm19590"
"77","Mir142hg"
"78","Meg3"
"79","Gm10297"
"80","Gm15772"
"81","Fam46b"
"82","Ccl9"
"83","Ms4a4d"
"84","Pnmal2"
"85","1110008P14Rik"
"86","Gsta4"
"87","Pabpc1"
"88","Sprr2e"
"89","Gm20412"
"90","Aldh1a1"
"91","Igsf5"
"92","Fam198b"
"93","Zfp882"
"94","Cxcl3"
"95","Gm3375"
"96","Ivl"
"97","Pot1a"
"98","Lrmp"
"99","Slmo1"
"100","Gm17501"
"101","Tmpo"
"102","Rab32"
"103","Gm43118"
"104","Gm17139"
"105","Gm20390"
"106","Rpsa-ps10"
"107","Ccdc109b"
"108","Bglap3"
"109","Ptrf"
"110","A330023F24Rik"
"111","Csf2rb"
"112","Ddx26b"
"113","2810428I15Rik"
"114","Muc2"
"115","2610301B20Rik"
"116","Gm26716"
"117","Fcgr2b"
"118","2610008E11Rik"
"119","Prps1"
"120","Stra6l"
"121","B130055M24Rik"
"122","4932438A13Rik"
"123","Slc25a51"
"124","Ccnb2-ps"
"125","9030622O22Rik"
"126","Pdcd6ip"
"127","2610316D01Rik"
"128","9030624J02Rik"
"129","Cd68"
"130","Fcna"
"131","Rpl38-ps2"
"132","Ly6g6e"
"133","Rbmxl1"
"134","Steap1"
"135","Gatsl2"
"136","Serpinb9"
"137","Mut"
"138","1110037F02Rik"
"139","AY036118"
"140","1500015O10Rik"
"141","A930033H14Rik"
"142","Skp1a"
"143","Mroh3"
"144","Serpina3h"
"145","8030451A03Rik"
"146","Fbxw17"
"147","Gm4924"
"148","Rpl19-ps11"
"149","Ltb4r1"
"150","Pold3"
"151","Serpina3i"
"152","1810019D21Rik"
"153","Sprr2b"
"154","N4bp2os"
"155","6030419C18Rik"
"156","AI480526"
"157","Hmha1"
"158","Ankrd26"
"159","Fam213a"
"160","Gm10544"
"161","Igkv6-13"
"162","Oit1"
"163","4930533O14Rik"
"164","Gm1045"
"165","Rpsa"
"166","Mum1"
"167","Ngp"
"168","Wisp1"
"169","Bex4"
"170","Csf2rb2"
"171","Mettl7a1"
"172","Smim6"
"173","1700040L02Rik"
"174","Gm10145"
"175","Gm16365"
"176","Hist1h2bk"
"177","Gm15848"
"178","Athl1"
"179","Sdpr"
"180","Pirb"
"181","Ercc6l2"
"182","Klk1b21"
"183","5730508B09Rik"
"184","Lyz2"
"185","Dynlt1c"
"186","Serpinb1a"
"187","Eif4a3"
"188","Ubl5"
"189","Nr1h5"
"190","Gm24312"
"191","n-R5s118"
"192","n-R5s106"
"193","n-R5s130"
"194","Ifi47"
"195","Zfp938"
"196","Kif1bp"
"197","Wars"
"198","Hhex"
"199","Ms4a6d"
"200","Zfp809"
"201","D630036G22Rik"
"202","Eif1"
"203","Hdgfrp3"
"204","Fam214a"
"205","Rtfdc1"
"206","Iglc2"
"207","Gm8226"
"208","Atad2"
"209","Rps15a-ps5"
"210","B230217C12Rik"
"211","Lockd"
"212","5330411J11Rik"
"213","Fam188b"
"214","Gm10288"
"215","Gm8325"
"216","Ighg1"
"217","Fam92a"
"218","Zfp617"
"219","Gm13841"
"220","Tnfrsf23"
"221","2010107E04Rik"
"222","Krt83"
"223","Mettl10"
"224","Mndal"
"225","Lbhd1"
"226","Abcg2"
"227","S100a9"
"228","2010005H15Rik"
"229","Ptgs2os2"
"230","Ifitm6"
"231","Ccdc64"
"232","Tmprss11b"
"233","Gm22637"
"234","Sprr1a"
"235","Rian"
"236","Krt87"
"237","Ifit1bl1"
"238","Rpl27-ps3"
"239","Gm10146"
"240","Tpt1"
"241","2510046G10Rik"
"242","Gm44143"
"243","Gm17122"
"244","H2afy2"
"245","C1s1"
"246","Krt6b"
"247","Ighg2b"
"248","Hist1h4h"
"249","Klk1b24"
"250","2310043M15Rik"
"251","Upk3bl"
"252","Casp4"
"253","Glycam1"
"254","C130050O18Rik"
"255","Gm14005"
"256","Bet1l"
"257","March8"
"258","Sectm1a"
"259","Nipsnap3b"
"260","RP23-313J14.7"
"261","Kansl2-ps"
"262","Serpina3n"
"263","Gm20033"
"264","Gm12079"
"265","Zfp930"
"266","Gm16364"
"267","Wfdc17"
"268","BC051226"
"269","Fam129b"
"270","Akr1c14"
"271","Rps24-ps3"
"272","E130307A14Rik"
"273","AI662270"
"274","2210407C18Rik"
"275","BB114814"
"276","Cd1d1"
"277","Naip5"
"278","Gm38102"
"279","Gm6204"
"280","1810064F22Rik"
"281","2700029M09Rik"
"282","Fam189a2"
"283","2700060E02Rik"
"284","Il1f8"
"285","Gm19918"
"286","Igkv8-28"
"287","Plscr2"
"288","Obp2a"
"289","Ccbl2"
"290","Gm20554"
"291","Stfa2l1"
"292","Zfp871"
"293","Gm5483"
"294","Zfp808"
"295","Tgtp1"
"296","Nradd"
"297","Gm266"
"298","Gm43110"
"299","Ifi204"
"300","AA415398"
"301","2510016D11Rik"
"302","Mtss1l"
"303","Rps13-ps1"
"304","D030025P21Rik"
"305","Ccl21a"
"306","Gm10238"
"307","D230025D16Rik"
"308","Naip2"
"309","Sirpb1c"
"310","Prr13"
"311","Nxpe5"
"312","H2-Q10"
"313","Gm9821"
"314","Gm3055"
"315","Bcl2a1b"
"316","Gm13835"
"317","Ccl3"
"318","8430408G22Rik"
"319","9630013D21Rik"
"320","Olfr1372-ps1"
"321","Gm12473"
"322","Gm15506"
"323","Gm20683"
"324","Gm5577"
"325","Fcgr4"
"326","Rpl14-ps1"
"327","Nat8f4"
"328","Fam208b"
"329","Snora57"
"330","Gm20544"
"331","Selo"
"332","Gm43194"
"333","1700020N18Rik"
"334","Rpl39-ps"
"335","Gm15895"
"336","2010016I18Rik"
"337","Gm37350"
"338","Tnfrsf26"
"339","Gbas"
"340","Zfp101"
"341","Gm27913"
"342","1190007I07Rik"
"343","Iglv1"
"344","Iglc1"
"345","Plac9b"
"346","C130060K24Rik"
"347","Ero1lb"
"348","Hsp25-ps1"
"349","n-R5s197"
"350","Gm44040"
"351","Zfp275"
"352","Fam101b"
"353","Zfp715"
"354","Gm16350"
"355","Lrrc16b"
"356","Rpl30-ps10"
"357","Gm43580"
"358","Gm37090"
"359","Mkln1os"
"360","Tes"
"361","Nat8f1"
"362","Zfp961"
"363","4930455G09Rik"
"364","4632427E13Rik"
"365","Zfp963"
"366","Zfp60"
"367","AW112010"
"368","Rpl28-ps1"
"369","A230046K03Rik"
"370","Pilrb1"
"371","Pilrb2"
"372","Gm13237"
"373","Micalcl"
"374","Sft2d1"
"375","C430049B03Rik"
"376","Nat6"
"377","Gm37800"
"378","H60c"
"379","Sept6"
"380","Gm8730"
"381","Gm13597"
"382","Platr14"
"383","Gm5595"
"384","5031434O11Rik"
"385","1700048O20Rik"
"386","Gm21781"
"387","Irgm1"
"388","1810059H22Rik"
"389","Gm28285"
"390","9830147E19Rik"
"391","C230014O12Rik"
"392","Gm10193"
"393","Gm15428"
"394","Gm37401"
"395","Akr1c19"
"396","Gm5141"
"397","Snora43"
"398","Gm45110"
"399","Gm16285"
"400","Bhmt"
"401","Gm11724"
"402","Gm9780"
"403","Igkv4-91"
"404","Aaed1"
"405","Serpina3f"
"406","Tpt1-ps3"
"407","Vnn3"
"408","Gm12602"
"409","Tmem254c"
"410","A430033K04Rik"
"411","Cpne1"
"412","Rnaset2a"
"413","Gm7206"
"414","Tmsb15b2"
"415","Bet1"
"416","Gm37494"
"417","Gm13071"
"418","Gm16116"
"419","Gm26510"
"420","A930003A15Rik"
"421","Gm12191"
"422","Gm6136"
"423","Ighg2c"
"424","Col9a3"
"425","Klk1b27"
"426","Gm16071"
"427","Bhlhb9"
"428","Papd5"
"429","Hist1h4a"
"430","Slfn4"
"431","Gm45062"
"432","H2-T10"
"433","Gm42573"
"434","Zfp563"
"435","Dancr"
"436","Gm16907"
"437","1700047I17Rik2"
"438","Hist1h2bh"
"439","Tmem194"
"440","Mirt2"
"441","A830010M20Rik"
"442","2610021A01Rik"
"443","Tmem2"
"444","Zfp758"
"445","Igkv6-14"
"446","Myef2"
"447","Gm7666"
"448","Gm27972"
"449","Rps24"
"450","Tmem136"
"451","Gm38158"
"452","1700066B19Rik"
"453","Oaz1-ps"
"454","Isca1"
"455","Btf3l4"
"456","Gm12854"
"457","Igkv4-59"
"458","E130102H24Rik"
"459","Gm42846"
"460","Ccdc114"
"461","Il1f9"
"462","1810043G02Rik"
"463","Gm11827"
"464","Fam188a"
"465","E130309D02Rik"
"466","Fam160a2"
"467","Zcchc12"
"468","Gm23639"
"469","Ltc4s"
"470","Pilra"
"471","Tmem194b"
"472","Fv1"
"473","Il11ra1"
"474","Sp110"
"475","Gm13307"
"476","2700033N17Rik"
"477","E230032D23Rik"
"478","mt-Rnr2"
"479","Cxx1c"
"480","Fam129c"
"481","Gm6483"
"482","Igkv14-100"
"483","RP24-199K4.3"
"484","Gm10131"
"485","Gm7658"
"486","AI314180"
"487","Sp140"
"488","Ccl8"
"489","Gm12013"
