"","c..Gm5637....Gm6024....Gm5385....Rpl9.ps6....Frg2f1....Gbp8..."
"1","Gm5637"
"2","Gm6024"
"3","Gm5385"
"4","Rpl9-ps6"
"5","Frg2f1"
"6","Gbp8"
"7","Gm15794"
"8","Gm14418"
"9","Gm10571"
"10","Gm12713"
"11","Vmn1r80"
"12","Gm7289"
"13","Gm28438"
"14","Gm9795"
"15","Bex1"
"16","Pagr1a"
"17","BC024139"
"18","Nat8f4"
"19","Fcgbp"
"20","Zfp956"
"21","Gm42453"
"22","Gbp6"
"23","Sspo"
"24","Col7a1"
"25","Gm9703"
"26","Cenpx"
"27","Gm46103"
"28","C4b"
"29","Zfp719"
"30","Gm6763"
"31","Gm8764"
"32","Gm15197"
"33","Gm9706"
"34","Septin4"
"35","Hsd3b3"
"36","Gm7502"
"37","Olfr481"
"38","Pramel42"
"39","Gm44505"
"40","Rps16-ps2"
"41","Ceacam3"
"42","Gm2531"
"43","Gm4353"
"44","Srsf3-ps"
"45","Rpl18a-ps1"
"46","Olfr1263"
"47","Pramel4"
"48","Pnmal2"
"49","ERCC-00113"
"50","Gm8291"
"51","Gm11599"
"52","Gm6373"
"53","Isoc2b"
"54","Gm6169"
"55","Gstp-ps"
"56","Gm38266"
"57","Gm5781"
"58","Lynx1"
"59","Gm10644"
"60","Rpe"
"61","Gm5626"
"62","Gm13590"
"63","Gm6654"
"64","Rps7-ps3"
"65","Ccr1"
"66","Bet1l"
"67","Rps13-ps4"
"68","Gm42878"
"69","Gm7129"
"70","Vmn2r96"
"71","Ccdc74a"
"72","Gm12447"
"73","Gm5347"
"74","Gm15877"
"75","Olfr300-ps1"
"76","Ces2g"
"77","Ccl27a"
"78","1700001J03Rik"
"79","Gm50053"
"80","Rsph10b"
"81","Htr5b"
"82","Gm10313"
"83","Smim10l2a"
"84","Gm8062"
"85","Gm48836"
"86","Gm2272"
"87","Gm43561"
"88","Gm20121"
"89","Eola1"
"90","Med10"
"91","Gm48856"
"92","Gm15454"
"93","Sirpa"
"94","Urah"
"95","Amd1"
"96","Gm27178"
"97","Zfp942"
"98","Slc6a8"
"99","Pttg1"
"100","Olfr1507"
"101","Speer4b"
"102","Gm10774"
"103","Gm48113"
"104","Gm19368"
"105","Olfr333-ps1"
"106","Obox3-ps1"
"107","Rp31-ps19"
"108","Gm16867"
"109","Gm49650"
"110","Gm13100"
"111","Gm26925"
"112","Gm9521"
"113","Gm12091"
"114","Myc"
"115","Gm12411"
"116","Abca17"
"117","D930048N14Rik"
"118","Dcpp1"
"119","Slc22a21"
"120","Cldn34c1"
"121","Slc2a3"
"122","2810025M15Rik"
"123","Aoc1"
"124","Alox12e"
"125","Gm11449"
"126","Tceal3"
"127","Gm14659"
"128","Gm12793"
"129","Rpl30-ps1"
"130","Fbxw21"
"131","Gm21981"
"132","Gal3st2c"
"133","Gm46203"
"134","Zfp810"
"135","Gm18994"
"136","Rex2"
"137","Gm8520"
"138","Zfp157"
"139","Arpc1a"
"140","Gm11231"
"141","Cdcp3"
"142","Eif4a3"
"143","BC085271"
"144","Gm11836"
"145","Zfp760"
"146","Gm3362"
"147","Gm7290"
"148","Gm12377"
"149","Eci2"
"150","Gm49353"
"151","Eno1"
"152","Mfsd4b3-ps"
"153","Abcb1b"
"154","Gm37317"
"155","Jkamp"
"156","AI987944"
"157","Rps15a-ps6"
"158","Fam90a1b"
"159","Gm8929"
"160","Gm7831"
"161","Vmn1r55"
"162","4930529C04Rik"
"163","Olfr748"
"164","Gm13665"
"165","Olfr212"
"166","Gm42742"
"167","1810014B01Rik"
"168","Gm28693"
"169","Gm15697"
"170","Gm19111"
"171","Ly6a"
"172","Gm14202"
"173","Gm45380"
"174","Skint4"
"175","Hbb-bs"
"176","D630036H23Rik"
"177","B630019K06Rik"
"178","Gm32390"
"179","Gm16060"
"180","Gm12424"
"181","Gm5435"
"182","Gm14322"
"183","Gm5674"
"184","Gm13622"
"185","Gm6793"
"186","Olfr1258"
"187","Gnaq"
"188","Gm13611"
"189","Lipo2"
"190","Oas1c"
"191","Gm29072"
"192","Vmn2r-ps17"
"193","Gm9864"
"194","Glycam1"
"195","Klra1"
"196","Gm49704"
"197","Cyp4f15"
"198","Olfr1331"
"199","Vmn2r45"
"200","Tyw1"
"201","Vmn2r22"
"202","Gm18003"
"203","Nup50"
"204","Gm49322"
"205","Gm8515"
"206","Gm14414"
"207","Serpinb9b"
"208","Gm28661"
"209","Ang"
"210","Gm12193"
"211","Gm15185"
"212","Zfp936"
"213","Olfr733"
"214","Pramel38"
"215","Rpl19-ps6"
"216","Zfp709"
"217","Gstp1"
"218","Olfr1555-ps1"
"219","Oas1a"
"220","Gm14427"
"221","2610044O15Rik8"
"222","Gpx2-ps1"
"223","Zfyve16"
"224","Olfr156"
"225","Apol10a"
"226","Gm7594"
"227","Rnaset2b"
"228","Gm13250"
"229","Glrx2"
"230","Gm12687"
"231","Gm13841"
"232","Gm8210"
"233","Gm14867"
"234","Gm8463"
"235","Maskbp3"
"236","Rhox7a"
"237","Gm4707"
"238","Gm13337"
"239","Gm8655"
"240","Gm4742"
"241","Gm12185"
"242","Zfp389"
"243","Gm7337"
"244","Gm5793"
"245","Gm10638"
"246","Zfp133-ps"
"247","Olfr742"
"248","Mrgprb1"
"249","Zfp267"
"250","Gm7990"
"251","Gm13961"
"252","Gm5790"
"253","Gm11440"
"254","Vmn2r70"
"255","Fbxw15"
"256","Gm47421"
"257","Gm48238"
"258","Arhgef4"
"259","Mapk1ip1"
"260","Gm19085"
"261","Vmn1r173"
"262","Gm48348"
"263","Gm2011"
"264","Tincr"
"265","Olfr279"
"266","Olfr1178"
"267","Olfr843"
"268","Gm12090"
"269","Aldh1a1"
"270","Olfr128"
"271","Rpl36-ps2"
"272","Gm12286"
"273","Zfp935"
"274","Gm14843"
"275","Gm14586"
"276","Fkbp2"
"277","Gm18724"
"278","Gm3222"
"279","Trim30a"
"280","1500011B03Rik"
"281","Rps12-ps21"
"282","Gimap3"
"283","Vmn1r24"
"284","Akr1cl"
"285","Cdk11b"
"286","Gm5422"
"287","Gm49215"
"288","Orm1"
"289","Speer4e"
"290","Prl"
"291","Gm15654"
"292","Prr13"
"293","Ptp4a1"
"294","Brd3os"
"295","Bhmt"
"296","Cox5b"
"297","Gm9407"
"298","Gm5473"
"299","Schip1"
"300","Capza1"
"301","Gm9068"
"302","Gm5526"
"303","Olfr550"
"304","Fbxw14"
"305","Zfp27"
"306","Ighv2-6-8"
"307","Gm8420"
"308","BC053393"
"309","Gnao1"
"310","Gm4540"
"311","Gbp9"
"312","Cd300ld"
"313","Gm10051"
"314","Clec2g"
"315","3110009E18Rik"
"316","Poteg"
"317","Gm14388"
"318","Wfdc18"
"319","Gm16409"
"320","Gm14886"
"321","Zfp607a"
"322","Gm6204"
"323","Gm49309"
"324","Rtraf-ps"
"325","Olfr545"
"326","Gm6619"
"327","Pin1"
"328","Olfr881"
"329","Ccdc162"
"330","Gm7776"
"331","Vmn2r4"
"332","A2ml1"
"333","Gm18089"
"334","Gm28051"
"335","Tekt4"
"336","Gm16330"
"337","B230307C23Rik"
"338","Dcpp3"
"339","Zfp946"
"340","Olfr1226"
"341","Rpl31-ps13"
"342","Gm11427"
"343","Gm15844"
"344","Zfp386"
"345","Rpl36a-ps1"
"346","Oog1"
"347","Gm18782"
"348","Mycn"
"349","Gm3052"
"350","Gm50387"
"351","Gm7516"
"352","Gm49582"
"353","Rps12-ps23"
"354","Gm33312"
"355","Slco6c1"
"356","Chia1"
"357","Krt74"
"358","Gm13216"
"359","Gm4263"
"360","Gm45105"
"361","Pnmal1"
"362","5730522E02Rik"
"363","Cyp2d12"
"364","Gm18072"
"365","Gm6563"
"366","Gm4994"
"367","Abhd11os"
"368","Ftl1"
"369","Gm14654"
"370","Gm19024"
"371","Serpinb9"
"372","Ifitm1"
"373","Tmem269"
"374","Zfp442"
"375","Gm6321"
"376","Gm7993"
"377","Gm13333"
"378","Acyp1"
"379","Rpl13a-ps1"
"380","Gm18273"
"381","Gm8899"
"382","Gm10392"
"383","Pf4"
"384","Smpd5"
"385","Gm48660"
"386","Pisd-ps1"
"387","Gm18012"
"388","Htr1d"
"389","Mfsd4b5"
"390","G530012D18Rik"
"391","Mfsd13b"
"392","Gm5431"
"393","Olfr1490"
"394","Zfp141"
"395","Irs3"
"396","Dcpp2"
"397","Gm19196"
"398","Gm4034"
"399","Ins1"
"400","Siglecg"
"401","Gm8738"
"402","Olfr1467"
"403","Catspere1"
"404","Cdiptos"
"405","1700030C10Rik"
"406","Olfr914"
"407","Eif3j1"
"408","Gm5312"
"409","Gm10037"
"410","Gm11451"
"411","Gm48333"
"412","Gm13426"
"413","Gm15593"
"414","Gm4810"
"415","Scgb1c1"
"416","H3f3b"
"417","Zfp957"
"418","Gm18736"
"419","Olfr50"
"420","Slc6a20b"
"421","Gm5879"
"422","Rpl21-ps2"
"423","Rpl17-ps3"
"424","Gm13559"
