"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16"
"Nme4";0,0205068155922096;-0,0171175038882179;-0,0831860180742738;-0,197404564821196;-0,158165050146423;-0,108926779727459;0,0141079766479924;0,0183611087678848;-0,0520297346751453;0,0910007459430286;-0,0734424902965796;-0,068743639883098;-0,0430664797941124;-0,158621239344436;0,00182545231131789;-0,0285735487603748
"Gm5637";0,0124123709827879;-0,00805598111847163;-0,03884816153228;-0,0729531469851123;-0,0115216986329096;-0,0876531145829969;-0,0230643910980477;0,116177508148154;0,00840924739398602;0,108573821324413;0,0244265641515082;-0,0569543892607281;0,0292302945886489;0,0420956516065219;0,0436651288117157;-0,0231697313451528
"Otud3";-0,016825628665151;0,0145922170047647;-0,0142365964838754;0,0465982547827983;0,0396391794424857;-0,0310031014501258;-0,00185671041345927;0,0152786855380439;0,0534529641539024;0,0873017050164698;-0,0519079035123093;0,0439282699912054;0,0356003995395686;-0,00287282672326616;-0,115264313305084;-0,0703735332161123
"Mgme1";0,0165560326162929;-0,0561607245843206;0,0175561056678215;-0,0701258678359237;-0,0469873004053875;-0,0885254491523345;-0,0603122151444127;-0,0408356492502907;0,0193591126979274;0,0529197132301031;0,0177287460786247;-0,0972511519852738;-0,00470214911704147;0,0238367944351938;-0,00942370964351182;-0,0324564921257852
"Gm6024";-2,15302017863624e-17;1,48490403662602e-16;1,41278430493465e-16;1,46095541813104e-17;5,79950903658608e-17;9,95529217801788e-18;-9,83917346179691e-17;2,78040245401478e-16;9,81590985047334e-17;-1,66860038006331e-17;-1,61821167732678e-16;3,10892639569239e-16;1,49639632408205e-16;-3,98196624457812e-17;2,42402517070336e-18;-0,165393400654958
"Edem2";-0,0521952315436104;0,032718666562232;0,00697245610665608;-0,0526490679317958;0,0370105082269763;0,0564749782887365;0,0426899111183488;0,0105992194321584;0,0174994785399217;0,00806877641785777;-0,0373345975996295;0,0283254129559985;0,0459100307933058;-0,0317181160880973;-0,0211397242729406;0,106173531539026
"Gm5385";-4,52990832042162e-18;9,35714516914542e-17;1,04494702691405e-16;8,73178471200705e-17;3,77812548333017e-17;-9,82043290298907e-17;-3,54446378235651e-17;1,08278777501434e-17;-6,17760774960842e-17;3,55968330796254e-17;-1,40809845891626e-16;1,9461778733495e-16;5,70841977632251e-17;2,77012502409731e-18;-1,31127759927996e-17;-0,0562301526046131
"Rpl9-ps6";-0,00974480826146641;-0,00114780925148924;0,0191219051625938;-0,069481806578558;0,00407107176653134;0,0145933152878134;0,0760332531879098;-0,0184090560942051;-0,0214441038295203;0,0731865106905246;0,0481456802509441;0,0727483528764881;-0,00228416879400288;0,101676098509958;-0,089119829172636;-0,190518530526751
"Tyrobp";0,0466849393947598;0,0742609048568372;0,0341248960295387;-0,0491133974563738;-0,160754702942761;-0,0234768853921899;-0,0465100844119574;-0,0724202682366727;-0,0293729422334736;0,0162624567984353;0,0357407561613748;-0,106389241679821;-0,0448863379507769;0,00289410833265798;0,027961919433618;-0,0648261584554845
"Trdn";-0,0784530827511256;0,059266125271459;0,0500961741234959;-0,235208506262304;0,0214755237598484;-0,0419449099051437;-0,213851065815929;-0,0832202426501074;-0,160576256747516;0,269423505537572;-0,0845779171153345;-0,000892680684735061;0,0432354561760183;0,0598901657344378;0,0320234736234886;-0,152133521846341
"Nono";0,0268542976039548;-0,0272443153302746;-0,0023584669674342;0,0389849986163398;-0,0794880587028009;-0,0364473151511365;-0,144363014016956;0,00957782402995097;-0,0465763615236967;0,00335714355973895;-0,00943242367436488;0,00840057913653978;0,00375752010018509;0,0278469396546057;0,0214263918556183;-0,354130762939319
"Me1";0,105890141002923;0,118089898686431;-0,0785721041381858;0,0312741751031308;0,115988554098583;0,0550951402422677;0,0605209488875349;0,020676670850226;0,0545678193275799;-0,033761442362202;0,0575119073709134;-0,136249711647926;0,269865644509852;-0,0205784070841502;0,0735813912483839;0,0395238308493916
