pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	1	1	0.0399218624292714	-0.155249339578928	-0.570772604440941	186	ADIPOQ PTGER3 GPX3 RETN COL15A1 ADIG MGST3 C3 ME1 LIPE SLC66A3 TST ESRRA TKT STOM ANGPT1
HALLMARK_ALLOGRAFT_REJECTION	2.09635715124768e-11	3.4939285854128e-10	0.863415391606693	-0.604373688346646	-2.19429725917414	168	MMP9 CCL11 IL10 CCL19 IL18RAP EREG IL6 CD79A IL11 THY1 C2 IL13 IRF4 CD40 TNF NOS2 IL2RA SRGN SOCS1 IFNG GCNT1 NCF4 GZMA TIMP1 IL12RB1 LTB IL1B FGR ELANE EGFR SPI1 CD80 HLA-DOA IL4 INHBA CAPG ICAM1 CD3D IL27RA IFNGR2 CD3G TLR2 HLA-DOB CSF1 STAT4 CD7 CD2 CTSS LCP2 KLRD1 IL2RG BCL3 MAP4K1 PSMB10 CFP TGFB1 F2R WAS IGSF6 B2M IFNAR2 ABI1 CXCL9 PTPN6 TAP1 CD86 CCL22 TAPBP STAB1 TAP2 CD3E HCLS1 CCL7 RPL39 PTPRC CD74 NLRP3 PRF1 HLA-DMA STAT1 F2 KRT1 ITK CD96 RPL3L ETS1
HALLMARK_ANDROGEN_RESPONSE	0.0985663082437276	0.158977916522141	0.190023305279108	-0.390936371881585	-1.30983766881717	91	TMPRSS2 KRT19 PMEPA1 PTK2B ADAMTS1 ALDH1A3 MAK NKX3-1 CDK6 STEAP4 INPP4B ANKH TNFAIP8 SAT1 SPDEF SLC26A2 DHCR24 ITGAV ABCC4 BMPR1B B2M ACTN1
HALLMARK_ANGIOGENESIS	0.00371744515610037	0.00978275041079045	0.431707695803346	-0.609318941070907	-1.69568918610255	35	CXCL6 COL5A2 PGLYRP1 COL3A1 POSTN THBD APOH FSTL1 TIMP1 PDGFA VCAN OLR1 S100A4 LUM JAG1 TNFRSF21 ITGAV
HALLMARK_APICAL_JUNCTION	0.000193546761860741	0.000744410622541312	0.518848077743792	-0.444200827943413	-1.62965572324817	187	COL17A1 CLDN6 TNFRSF11B MMP9 CLDN8 NECTIN4 CDH6 CLDN14 LAMC2 LAMA3 ADAMTS5 CLDN7 THY1 CDH3 CDH15 LAMB3 CDH1 ITGA2 CRB3 ITGB4 RHOF ACTA1 MMP2 MPZL2 CLDN9 GRB7 ATP1A3 FBN1 RAC2 MADCAM1 DMP1 SLIT2 VCAN EGFR PCDH1 ITGA3 ICAM1 CD276 NECTIN1 BAIAP2 NECTIN2 CERCAM BMP1 JUP ADRA1B SYK FSCN1 TRAF1 CNN2 ACTN1 SRC MYH9 ACTN4 ACTG1 VCL PARD6G SKAP2 COL16A1 MYL12B CD86 ITGA9 PTPRC PFN1 CTNND1 LAYN CD274
HALLMARK_APICAL_SURFACE	0.0094896157404857	0.020665768983699	0.380730400722792	-0.550859879365929	-1.58905028316341	40	LYPD3 MAL GATA3 THY1 PKHD1 NTNG1 SRPX SULF2 HSPB1 IL2RG PLAUR EFNA5 PCSK9
HALLMARK_APOPTOSIS	0.00150361887227665	0.00435074942439664	0.45505986738723	-0.422773125701776	-1.51486239371211	153	EREG IL6 ANXA1 LGALS3 GPX3 PDGFRB IL1A PMAIP1 GNA15 TNF MMP2 ERBB2 AVPR1A TIMP1 TIMP2 IL1B HSPB1 BGN CD69 ERBB3 PLCB2 ANKH GSN BIRC3 BTG3 TNFSF10 SAT1 LUM CD2 CD44 CLU IRF1 LEF1 ISG20 GADD45B F2R PAK1 EBP TIMP3 BID CD14 CTNNB1 RNASEL TAP1 GPX1 BMP2 RARA SMAD7 PRF1 MCL1 EMP1 F2 IFNB1
HALLMARK_BILE_ACID_METABOLISM	0.849223946784922	1	0.0579754757571486	0.23324108095359	0.808865581785065	99	NR0B2 ABCA6 APOA1 ABCG8 ABCG4 TTR ABCA9 PIPOX SULT2B1 EFHC1 DIO2 KLF1 ABCA8 HSD17B11 NUDT12 ABCA1 SLC23A2 PFKM SLC27A2 GNPAT LONP2 GNMT ABCA5 SLC29A1 AR PEX11A MLYCD PNPLA8 NR3C2 PECR GSTK1 DIO1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0583941605839416	0.104275286757039	0.252961123069611	-0.427907596140223	-1.3608423569512	68	MAL2 LGALS3 SEMA3B GLDC AVPR1A S100A11 CXCL16 LDLR ALCAM GPX8 JAG1 CLU FDFT1 PLAUR CYP51A1 EBP ETHE1 CTNNB1 FDPS ACTG1 HMGCS1 GUSB NSDHL
HALLMARK_COAGULATION	1.18203934324315e-10	1.18203934324315e-09	0.826657301178302	-0.648117454073575	-2.24461064839703	115	FGG MMP3 CTSK MMP9 MMP7 HNF4A MST1 CFD CFB ANXA1 PLAU HPN MMP8 TMPRSS6 C2 ITGA2 SERPINB2 F10 THBD GDA PDGFB MMP15 F3 APOC1 MMP2 FBN1 TIMP1 ITGB3 CPN1 APOC2 TF F11 C3 OLR1 TFPI2 MMP14 GSN HTRA1 CAPN5 PROS1 KLK8 DUSP14 BMP1 CLU PRSS23 CTSE GP9 ACOX2 TIMP3 SERPING1 CFI PLEK P2RY1 C1QA RGN THBS1 LRP1 SPARC SH2B2 CTSB CAPN2
