pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.909706546275395	0.976902061428926	0.0224414263839237	0.196316134127794	0.781951374417708	188	UCK1 SDHB LPCAT3 FAH SDHC PEX14 DNAJB9 SSPN GRPEL1 ESRRA ATP1B3 SQOR IFNGR1 NDUFA5 REEP5 ABCB8 MAP4K3 SLC25A10 NDUFS3 IDH3G GADD45A ADCY6 PFKL CPT2 STOM DLAT MDH2 STAT5A SUCLG1 MIGA2 COQ9 HADH PRDX3 ETFB ECH1 ADIG GPD2 UQCR11 CD302 DNAJC15 PGM1 CD36 MGLL GPAT4 CIDEA SNCG UBQLN1 CHCHD10 SLC27A1 CYP4B1 PDCD4 ACAA2 ITGA7 PFKFB3 TALDO1 SOD1 NMT1 UQCR10 C3 CAT DHCR7 NDUFB7 TST PHLDB1 ALDH2 BCKDHA RTN3 RNF11 UBC ACADM VEGFB COX7B SLC25A1
HALLMARK_ALLOGRAFT_REJECTION	0.426470588235294	0.772357723577236	0.184706471207739	-0.215460782833986	-1.01001815920913	147	IL12B TLR1 ELANE B2M F2 ACVR2A LYN CD3E KRT1 HCLS1 IL7 HDAC9 PTPRC CD28 MAP4K1 CD86 FAS INHBA HLA-DOA IL2RA SPI1 CSF1 LY75 HLA-DRA
HALLMARK_ANDROGEN_RESPONSE	0.649484536082474	0.893547427891764	0.120433371642259	-0.212483990809637	-0.929134467369741	93	CENPN B2M XRCC5 IDI1 RPS6KA3 ADAMTS1 NGLY1 UAP1 AKAP12 PTPN21 ANKH NKX3-1 AZGP1 ELOVL5 DBI VAPA GSR FKBP5 STEAP4 ELK4 SRF HMGCS1 PIAS1 HERC3 AKT1 MERTK CDK6 XRCC6
HALLMARK_ANGIOGENESIS	0.403614457831325	0.772357723577236	0.116234148779716	-0.293472244755362	-1.0271442454562	30	SPP1 VCAN TNFRSF21 FGFR1 MSX1 NRP1
HALLMARK_APICAL_JUNCTION	0.67909604519774	0.893547427891764	0.0372254009247509	0.22992895504948	0.912950150410355	183	SORBS3 MAPK11 MVD ITGA3 ACTG2 RRAS VCL CTNNA1 ZYX SHROOM2 COL16A1 ICAM2 GRB7 BAIAP2 CRB3 CADM3 MYL12B NEGR1 NFASC PDZD3 THBS3 CDH1 LAMC2 CLDN7 AKT3 HRAS STX4 DSC1 PLCG1 NLGN2 ACTN4 CLDN19 SKAP2 MAPK14 WNK4 WASL HADH GTF2F1 CX3CL1 PIK3R3
HALLMARK_APICAL_SURFACE	0.054945054945055	0.540075679394565	0.224966093540314	0.447318579894792	1.44324741613243	39	SLC2A4 CRYBG1 AFAP1L2 EFNA5 SHROOM2 NCOA6 PLAUR HSPB1 EPHB4 SRPX CX3CL1 SULF2 IL2RB GSTM3 BRCA1 CROCC FLOT2 GHRL
HALLMARK_APOPTOSIS	0.797921478060046	0.949906521500055	0.0305608138615649	0.21675528815916	0.841801296097808	147	TAP1 LGALS3 DAP JUN AIFM3 IER3 CCNA1 DNAJC3 PSEN1 BMF CCND1 DDIT3 H1-0 PRF1 IFNGR1 BTG2 BCL2L2 PAK1 BAX CD14 BCAP31 TGFBR3 HSPB1 ISG20 SPTAN1 GADD45A ENO2
HALLMARK_BILE_ACID_METABOLISM	0.888613861386139	0.976902061428926	0.0286449572929609	0.204607445073235	0.758588171839397	93	MLYCD OPTN ABCD3 PEX11A GSTK1 LONP2 PFKM NR1I2 DIO1 ABCD1 FADS1 ISOC1 SLC27A5 HSD17B6 SLC22A18 CYP7A1 SLC35B2 PEX16 BCAR3 PEX11G EFHC1 ABCA2 PEX6 ABCA3 SOD1 CYP46A1 CAT PRDX5 ABCA4
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.424932975871314	0.772357723577236	0.0670512579829467	0.297025591753382	1.02983886346194	64	LGALS3 MVD ETHE1 ERRFI1 MAL2 JAG1 CBS ATF5 ANXA5 PLAUR ALDOC PMVK
HALLMARK_COAGULATION	0.910429447852761	0.976902061428926	0.0269562963008324	0.203614255953521	0.7612597649002	103	CPN1 RABIF CAPN5 MSRB2 MAFF F12 PEF1 HPN MMP11 C8G RAC1 KLK8 MMP15 GNB2 APOC2 GP1BA PRSS23 HTRA1 CFB
