pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AACTTT_UNKNOWN	0.542955326460481	0.983006643606215	0.0672065093710464	-0.454654527210214	-0.953623671062572	12	IL18R1 TRDN PRDM1
AHRR_TARGET_GENES	0.949532710280374	0.99353957385843	0.0449543067640062	-0.277777777777778	-0.51213319023659	7	SORBS3 PLEC METTL23 NONO GANAB MYRFL NPRL2
ALFANO_MYC_TARGETS	0.37847866419295	0.983006643606215	0.0902635484340068	-0.619689134409894	-1.10730113817606	6	CPN1 NBL1 PLEC
AREB6_04	0.117001828153565	0.726595825716027	0.175204047558551	-0.791312406422231	-1.37232828435456	5	PRDM1 ME1 EDN1
ARNT2_TARGET_GENES	0.861060329067642	0.983006643606215	0.0484087618816951	-0.377301864722707	-0.65433325257687	5	EDEM2 RNF216 MRM1
ASH1L_TARGET_GENES	0.408993576017131	0.983006643606215	0.0940503465727813	0.557639050349487	1.07694268398287	7	DERL3 EEFSEC
BACH2_TARGET_GENES	0.737024221453287	0.983006643606215	0.0530212512043078	-0.399047081230099	-0.802555037433049	10	PRDM1 CATIP SORBS3
BARHL1_TARGET_GENES	0.63840830449827	0.983006643606215	0.0597317976364411	-0.436208922469225	-0.877294145396981	10	PRDM1
BARX2_TARGET_GENES	0.256959314775161	0.948648539452951	0.12384217120105	0.620103039658844	1.19757651738628	7	DERL3 LRRC40
BENPORATH_EED_TARGETS	0.157205240174673	0.823923892701185	0.16440575583821	0.743506050686616	1.32201579603448	5	RAI2 CEMIP MOB2
BENPORATH_ES_WITH_H3K27ME3	0.539301310043668	0.983006643606215	0.0797705918628453	0.548917134045154	0.976020465807265	5	KCNJ3 CEMIP
BENPORATH_SUZ12_TARGETS	0.0851528384279476	0.714067373674361	0.227987202850442	0.793961849252146	1.41173041590014	5	RAI2 KCNJ3 CEMIP
BLALOCK_ALZHEIMERS_DISEASE_DN	0.382096069868996	0.983006643606215	0.0992333343771191	0.61917537192825	1.10094547508893	5	KCNJ3 GNAL PSMB2
BLALOCK_ALZHEIMERS_DISEASE_UP	0.761245674740485	0.983006643606215	0.051530912208539	-0.390804597701149	-0.785977929146163	10	DAPK2 PLEC PDIA4 RNF216 NONO ADGRG1 IRF7 NME4 FAHD2A MXI1
BRCA2_TARGET_GENES	0.703153988868275	0.983006643606215	0.0584693210386381	-0.455786679495942	-0.81442949528548	6	PRDM1 NBL1
BRUINS_UVC_RESPONSE_LATE	0.0162736539483329	0.338778212386595	0.352487857583619	-0.885387266082181	-1.53547698480492	5	MMP3 MMP19
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	0.842794759825327	0.983006643606215	0.057609110864425	0.390135682239546	0.693693795821928	5	CEMIP FAHD2A MAP3K1
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.24860853432282	0.936460503601405	0.116234148779716	-0.684937223085479	-1.22389069710562	6	MMP3
BUSSLINGER_GASTRIC_IMMUNE_CELLS	0.110726643598616	0.726595825716027	0.175204047558551	-0.684698847361875	-1.37705181900082	10	IL18R1 PRDM1 TYROBP NBEAL2 CARD11
BUSSLINGER_GASTRIC_ISTHMUS_CELLS	0.389396709323583	0.983006643606215	0.0878312634480124	-0.638085861454351	-1.10659616658823	5	ME1 SLC39A11 PLEC PDIA4
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	0.231775700934579	0.911503550304211	0.121543282035469	-0.674264648718515	-1.24312790020308	7	IL18R1 EDN1 NBEAL2
CACGTG_MYC_Q2	0.214132762312634	0.889371666124064	0.137250779610133	0.643210020740849	1.24220196858021	7	SLC38A5 DERL3 HSDL1 MGME1
CAGCTG_AP4_Q5	0.792656587473002	0.983006643606215	0.059989249649033	0.362882885421426	0.731315740438899	8	DERL3 MLYCD
CBFA2T2_TARGET_GENES	0.105831533477322	0.726595825716027	0.20207170902116	0.683513652330289	1.37748103544072	8	SLC38A5 CEMIP CDKL1
CC2D1A_TARGET_GENES	0.417558886509636	0.983006643606215	0.0928481214159878	0.550957732058511	1.06403936085958	7	SLC38A5 CDKL1 EEFSEC
CEBPZ_TARGET_GENES	0.369614512471655	0.983006643606215	0.103576326612592	0.539158454595508	1.1015618981628	9	DERL3 UMPS CHAF1A MRPS12 GANAB SHARPIN PDIA4 TOR1A SIVA1
CHEN_METABOLIC_SYNDROM_NETWORK	0.017094155466713	0.338778212386595	0.352487857583619	-0.883862755204445	-1.53283311194214	5	MMP3 MMP19 TYROBP CARD11
CREB3L4_TARGET_GENES	0.0194360015496465	0.338778212386595	0.352487857583619	0.857848682823044	1.52532653668672	5	MEST DERL3 LRRC40 MXI1
CTTTGA_LEF1_Q2	0.579524680073126	0.983006643606215	0.0670512579829467	-0.54070726608032	-0.937717984421587	5	IL18R1 PRDM1
DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS	0.707423580786026	0.983006643606215	0.065981614400873	0.465121958618472	0.827025652055243	5	DERL3 DLEC1
DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS	0.707423580786026	0.983006643606215	0.065981614400873	0.465121958618472	0.827025652055243	5	DERL3 DLEC1
