"","external_gene_name","hsapiens_homolog_associated_gene_name","hsapiens_homolog_chromosome","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id"
"1","mt-Nd1","MT-ND1","MT","ortholog_one2one",77.044
"2","mt-Nd2","MT-ND2","MT","ortholog_one2one",57.3913
"3","mt-Co1","MT-CO1","MT","ortholog_one2one",90.6615
"4","mt-Co2","MT-CO2","MT","ortholog_one2one",71.3656
"5","mt-Atp8","MT-ATP8","MT","ortholog_one2one",46.2687
"6","mt-Atp6","MT-ATP6","MT","ortholog_one2one",75.6637
"7","mt-Co3","MT-CO3","MT","ortholog_one2one",86.9732
"8","mt-Nd3","MT-ND3","MT","ortholog_one2one",66.087
"9","mt-Nd4","MT-ND4","MT","ortholog_one2one",66.8845
"10","mt-Nd5","MT-ND5","MT","ortholog_one2one",63.4267
"11","mt-Nd6","MT-ND6","MT","ortholog_one2one",52.907
"12","mt-Cytb","MT-CYB","MT","ortholog_one2one",77.6903
"13","Kdm5d","KDM5D","Y","ortholog_one2one",80.2972
"14","Uty","UTY","Y","ortholog_one2one",80.4455
"15","Ddx3y","DDX3Y","Y","ortholog_one2one",89.2097
"16","Cdh2","CDH2","18","ortholog_one2one",96.6887
"17","Cep120","CEP120","5","ortholog_one2one",89.5749
"18","Csnk1g3","CSNK1G3","5","ortholog_one2one",98.6607
"19","Dsc3","DSC3","18","ortholog_one2one",79.5759
"20","Zfp608","ZNF608","5","ortholog_one2one",92.9848
"21","Gramd3","GRAMD2B","5","ortholog_one2one",78.6517
"22","Dsc2","DSC2","18","ortholog_one2one",75.6098
"23","Dsc1","DSC1","18","ortholog_one2one",82.3928
"24","Aldh7a1","ALDH7A1","5","ortholog_one2one",87.5696
"25","Dsg4","DSG4","18","ortholog_one2one",82.4207
"26","Phax","PHAX","5","ortholog_one2one",87.7922
"27","Lmnb1","LMNB1","5","ortholog_one2one",95.9184
"28","Marchf3","MARCHF3","5","ortholog_one2one",99.2095
"29","Dsg3","DSG3","18","ortholog_one2one",73.1118
"30","C330018D20Rik","C5orf63","5","ortholog_one2one",81.7391
"31","Dsg2","DSG2","18","ortholog_one2one",76.5597
"32","B4galt6","B4GALT6","18","ortholog_one2one",94.7644
