"","external_gene_name","hsapiens_homolog_associated_gene_name","hsapiens_homolog_chromosome","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id"
"1","mt-Nd1","MT-ND1","MT","ortholog_one2one",77.044
"2","mt-Nd2","MT-ND2","MT","ortholog_one2one",57.3913
"3","mt-Co1","MT-CO1","MT","ortholog_one2one",90.6615
"4","mt-Co2","MT-CO2","MT","ortholog_one2one",71.3656
"5","mt-Atp8","MT-ATP8","MT","ortholog_one2one",46.2687
"6","mt-Atp6","MT-ATP6","MT","ortholog_one2one",75.6637
"7","mt-Co3","MT-CO3","MT","ortholog_one2one",86.9732
"8","mt-Nd3","MT-ND3","MT","ortholog_one2one",66.087
"9","mt-Nd4l","MT-ND4L","MT","ortholog_one2one",66.3265
"10","mt-Nd4","MT-ND4","MT","ortholog_one2one",66.8845
"11","mt-Nd5","MT-ND5","MT","ortholog_one2one",63.4267
"12","mt-Nd6","MT-ND6","MT","ortholog_one2one",51.7442
"13","mt-Cytb","MT-CYB","MT","ortholog_one2one",77.9528
"14","Kdm5d","KDM5D","Y","ortholog_one2one",80.0388
"15","Uty","UTY","Y","ortholog_one2one",80.7756
"16","Ddx3y","DDX3Y","Y","ortholog_one2one",89.2097
"17","Usp9y","USP9Y","Y","ortholog_one2one",82.7856
"18","Sry","SRY","Y","ortholog_one2one",17.7215
"19","Chst9","CHST9","18","ortholog_one2one",77.9661
"20","Cdh2","CDH2","18","ortholog_one2one",96.7991
"21","Cep120","CEP120","5","ortholog_one2one",89.4737
"22","Csnk1g3","CSNK1G3","5","ortholog_one2one",98.6607
"23","Dsc3","DSC3","18","ortholog_one2one",79.5759
"24","Zfp608","ZNF608","5","ortholog_one2one",93.051
"25","Gramd3","GRAMD2B","5","ortholog_one2one",79.5506
"26","Dsc2","DSC2","18","ortholog_one2one",75.6098
"27","Dsc1","DSC1","18","ortholog_one2one",82.3928
"28","Aldh7a1","ALDH7A1","5","ortholog_one2one",88.3117
"29","Dsg4","DSG4","18","ortholog_one2one",82.4207
"30","Phax","PHAX","5","ortholog_one2one",87.7922
"31","Tex43","TEX43","5","ortholog_one2one",71.6312
"32","Lmnb1","LMNB1","5","ortholog_one2one",95.9184
